Cycle,0.811420454545
Average Width,5.94310289448
Width,,7.34580855478,5.77957250156,5.82189283474,5.99223519668,5.67571255689,6.04184860646,5.99670897369,6.08805511548,5.61679913295,5.77392772292,6.55358560741,6.13967169499,5.94949113232,5.71314497922,5.88955266698,5.88835520774,5.58821621209,5.7407563032,5.87057502711,5.65228085193,5.755805791,5.72349703978,6.05663085727
Point0,H1,(15.5104729322 38),(11.3856370233 212),(11.1235567163 377),(12.4786140385 549),(11.9124860712 721),(11.3640037408 889),(12.1835211032 1060),(11.4850749683 1240),(11.7257743579 1400),(10.4193567995 1574),(13.567601045 1759),(12.1223154911 1909),(12.7499098484 2084),(10.9956526275 2251),(12.9968800922 2422),(13.4896435904 2600),(11.8094455495 2763),(12.7087612731 2931),(13.3521356008 3100),(14.1649641398 3271),(13.537276812 3443),(12.5194814815 3608),(14.2913360658 3781),
Point0,H2,,(3.29493945887 262),,(6.64875037076 598),,(10.77353375 902),(6.039261945 1108),,(10.9616541727 1413),,,(10.7507361555 1922),,,(11.778895059 2439),(6.74035626564 2647),(11.6416343047 2771),(6.36667732261 2982),,(12.9256006633 3285),,(11.7819495177 3619),,
Point0,H3,,(4.04400821188 275),,(6.95164713201 609),,(10.7888900108 906),(6.76428008151 1120),,(11.0778811059 1421),,,(11.80469097 1935),,,(11.7811675452 2441),(6.81851672423 2653),(11.7900945985 2779),(6.68072330332 2992),,(13.2114347269 3294),,(12.4274892348 3631),,
Point0,H4,,(1.49454610112 324),,(1.88948206103 656),(0.508269945804 832),,(1.38602172583 1169),,(0.405213804682 1501),,,,,,(1.45790441325 2530),(1.5828646662 2707),(2.11066595482 2865),(1.90126504019 3039),(6.92048476276 3158),(2.10060280224 3374),,,,
Point0,H5,,(1.49469387785 325),,(2.07606993068 665),(0.943300475171 844),,(1.6099645191 1179),,(0.45003711097 1508),,,,,,(1.77732846109 2540),(1.64971161395 2713),(2.12647427379 2869),(2.41427846895 3051),(7.06825280722 3166),(2.72389353196 3387),,,,
Point0,H6,(-0.00385543783571 170),(-2.6645352591e-15 346),(-0.00507113875324 508),(2.6645352591e-15 685),(-1.24344978758e-14 858),(-6.2172489379e-15 1020),(-1.33226762955e-14 1196),(-0.016995056888 1371),(-3.5527136788e-15 1540),(-0.636353687819 1633),(-0.00305921573357 1705),(5.3290705182e-15 1878),(-0.000551050449818 2048),(4.4408920985e-15 2220),(-0.0022802511095 2381),(2.6645352591e-15 2557),(9.7699626167e-15 2731),(4.4408920985e-15 2894),(-3.5527136788e-15 3068),(-1.7763568394e-15 3241),(8.881784197e-16 3406),(-3.5527136788e-15 3578),(-7.9936057773e-15 3744),
Point1,H1,(16.6667920878 37),(12.7115198466 213),(12.8097371076 376),(14.3922893943 549),(14.130991856 720),(12.3046432356 910),(13.5256979293 1060),(12.9506676086 1236),(13.5396303367 1402),(11.7737955305 1574),(14.7738477427 1759),(13.1927587007 1910),(13.999430041 2084),(12.8861697834 2254),(15.0720804357 2422),(15.3318117672 2598),(13.9342060547 2780),(14.9362042864 2933),(15.4562491631 3104),(16.8880997365 3272),(15.4087037719 3445),(14.5716028029 3607),(16.2026880509 3782),
Point1,H2,,,(11.8764280213 389),(7.95701778069 597),,,,,,,,(11.7181196627 1923),,,,,,(7.32531105381 2983),,(15.961596997 3285),(2.47633697377 3530),,
Point1,H3,,,(12.028316373 397),(8.40396102782 608),,,,,,,,(12.7446660129 1935),,,,,,(7.45699330842 2990),,(16.0479471461 3291),(2.49951897168 3535),,
Point1,H4,,(4.06180278856 261),,(2.58372576305 657),,,,,(0.925253884755 1502),,(9.43991812217 1797),,,,(1.69062364146 2532),,(2.47042706813 2863),(2.01667575585 3039),(8.00884850121 3157),(2.38463599981 3375),(1.65246490277 3553),,
