Cycle,0.82476744186
Average Width,5.75439488072
Width,,5.84512831026,6.09127009883,5.79405486123,5.67745918002,5.67267577357,5.76005833317,5.62491754471,5.94723817579,5.53985111898,5.79822416705,5.58640331578,5.44552520972,5.84022089867,5.57995643129,5.64937110315,5.22485468396,5.64563489526,5.9937235433,5.63087346072,5.68249078376,5.75747692774,5.62870965993,5.72056739967,6.00041523582,5.59665073439,5.66650268984,5.83794453665,5.96200377949,5.80827424556,5.80060715298,5.72184559202,5.75161047054,5.72905125278,6.2312687286,5.63644348947,5.80872306384,6.14204753691,5.89852395329,5.66608906469,5.85047814172,5.61938972952,5.92924814323,5.81452107008,6.08039894798
Point0,H1,(12.3796677082 35),(16.44626119 199),(14.533469899 372),(15.5537144782 537),(16.061638881 712),(16.7509932139 871),(17.8857705723 1048),(17.113063045 1219),(15.1073592341 1382),(17.8740868725 1559),(15.3315622006 1723),(14.5422837124 1863),(18.7905782037 2058),(16.8807042914 2231),(17.5721938789 2402),(14.1853075395 2568),(14.8491827676 2735),(15.1890440128 2904),(14.3840205614 3078),(14.0964243403 3240),(17.1701164488 3414),(16.1520809793 3579),(16.8925554298 3750),(15.7037448215 3913),(15.0695882252 4082),(15.1116413673 4251),(17.184741083 4424),(19.099426639 4583),(18.2795701105 4760),(16.0347926406 4925),(15.6592742333 5096),(15.6655635419 5258),(16.4536947445 5432),(16.526223295 5602),(15.9992002934 5768),(15.8298659526 5942),(12.9771053948 6105),(14.4309476829 6278),(13.4465176929 6444),(14.8226729945 6615),(13.0033429661 6785),(13.1993965176 6954),(13.0452915343 7126),(12.691632377 7291),
Point0,H2,,,,,,,(8.93386982998 1097),,,(7.99191330713 1604),,,(17.5178284243 2070),(14.4363169334 2250),,(12.4261181658 2582),,(13.5095392623 2918),,(12.5908633463 3254),,(15.5078063641 3589),,(5.4696948853 3961),,,,(15.5860524787 4602),(6.29001746338 4810),,(7.33380309763 5150),(14.5759152688 5270),(14.3822838855 5448),,,,(11.8062843633 6119),(6.64255820991 6330),,(12.822590273 6631),,,(5.34700205794 7177),,
Point0,H3,,,,,,,(9.25719421676 1105),,,(9.43981070457 1618),,,(17.746625419 2078),(14.4369517199 2251),,(12.8642092953 2591),,(13.9347388567 2928),,(13.018337641 3265),,(15.767967042 3598),,(5.79941788572 3972),,,,(15.6077908211 4605),(6.42527552144 4817),,(7.38491092267 5156),(15.1852788191 5281),(14.4628882864 5454),,,,(11.9434174941 6126),(6.89400558288 6340),,(13.0896844916 6639),,,(5.67573438787 7188),,
Point0,H4,(-0.0710187446569 133),(1.31026027671 308),(7.58513614962 424),(1.68530571088 638),,(2.91341009663 978),(2.49910428972 1155),(7.6749328783 1271),,(2.66208068038 1667),,,,(2.53320886801 2337),(-0.0105713517318 2516),(1.7989310451 2671),(5.66988136993 2793),(2.4359157047 3012),(5.75277021838 3131),(3.30840589697 3346),(9.15249708004 3463),(1.43983674386 3682),,(1.52982364633 4015),(1.6850605388 4194),(3.50063939155 4357),,(2.71760711898 4686),(1.41222577307 4867),,(3.2922194976 5201),,,,,,,(2.09825277936 6385),,,(0.0732254414835 6899),,(1.38274013444 7233),,
Point0,H5,(2.05085693709 160),(1.56935868133 317),(7.78809397044 432),(2.71194713793 654),,(3.18826693298 988),(2.8135270105 1165),(7.97393261378 1281),,(2.89205989133 1676),,,,(2.72929160258 2346),(0.520825677986 2528),(2.64635881472 2685),(5.96457341946 2802),(2.46984908762 3017),(5.90366435705 3139),(3.33339888726 3350),(9.54512326156 3473),(1.86758675722 3694),,(2.43841866754 4030),(1.83494505817 4203),(3.50197351814 4359),,(3.06048319301 4698),(1.7588061438 4877),,(3.53889265391 5211),,,,,,,(2.59789967764 6397),,,(0.875929188872 6912),,(1.73367968279 7245),,
Point0,H6,(-0.0428997621962 1),(-0.0710187446569 133),(1.06581410364e-14 333),(2.84217094304e-14 505),(2.22044604925e-14 674),(2.13162820728e-14 834),(-7.1054273576e-15 1008),(-2.13162820728e-14 1182),(-0.0426325322618 1346),(-1.42108547152e-14 1519),(-0.00225109460233 1694),(-0.00284653536395 1824),(-0.00404554454825 2027),(8.881784197e-16 2193),(1.42108547152e-14 2366),(-0.0105713517318 2516),(6.2172489379e-15 2702),(-7.1054273576e-15 2872),(-1.86517468137e-14 3039),(-7.1054273576e-15 3209),(0.0 3375),(3.5527136788e-15 3549),(1.7763568394e-15 3712),(-0.0011499506647 3869),(5.3290705182e-15 4046),(8.881784197e-15 4220),(-0.00185793438994 4382),(2.04281036531e-14 4552),(3.5527136788e-15 4720),(-0.00291189703483 4893),(7.1054273576e-15 5055),(-6.2172489379e-15 5230),(-8.881784197e-15 5398),(5.3290705182e-15 5566),(5.3290705182e-15 5728),(1.24344978758e-14 5902),(4.4408920985e-15 6075),(-0.00245633857204 6240),(-4.4408920985e-15 6414),(-5.3290705182e-15 6582),(3.5527136788e-15 6749),(-2.6645352591e-15 6924),(-1.7763568394e-15 7088),(-0.0165761068335 7261),
Point1,H1,(13.2702806711 37),(17.6760301919 201),(16.2462179471 373),(17.3262679516 539),(17.9891035065 713),(19.2798626813 872),(20.6978611533 1048),(18.9966582208 1224),(17.5695429853 1384),(20.0217624583 1561),(17.9387302401 1724),(17.5942615595 1864),(20.5966019112 2061),(19.3014045523 2232),(20.6901367364 2404),(17.4104976337 2568),(17.0600806465 2737),(16.6037666021 2905),(15.6564935975 3080),(16.0680135576 3243),(19.3803879479 3415),(17.9379889773 3581),(19.9587699922 3751),(17.6364294672 3915),(17.6530169879 4082),(17.6915702871 4251),(20.0128524101 4427),(21.3667595476 4585),(21.0349933723 4759),(18.8219124062 4926),(18.0216353465 5096),(18.0368917122 5280),(18.7762078395 5433),(18.5392683723 5606),(19.0326558279 5769),(18.4695291858 5942),(14.4756371375 6107),(16.2835912301 6279),(15.6522080997 6445),(17.2258486005 6617),(15.2520030728 6787),(14.9625948773 6955),(14.7354440152 7128),(14.2999997114 7293),
Point1,H2,,(14.9988539899 218),,,,(15.8311882333 891),(10.223722704 1097),,,(9.29017323967 1607),,(7.3365444303 1911),(19.921982551 2071),(16.9772221453 2251),,(14.758292694 2582),,(14.7502056551 2919),(6.75947352726 3131),(14.7570775916 3257),(9.73626633687 3464),(17.5402673824 3589),,(7.03903300413 3963),,,,(17.936842422 4602),(7.54714962928 4813),,,,(16.478525731 5448),,(16.9907674768 5784),,(13.5084591893 6120),(8.36476905978 6333),(15.0984973245 6457),(15.0375390198 6632),,(13.8104796106 6969),(5.87815395534 7180),,
Point1,H3,,(15.0094681954 221),,,,(15.8713915938 895),(10.579712841 1106),,,(10.1073582133 1618),,(8.16869867582 1923),(20.0552592573 2077),(16.9780847388 2252),,(15.8050567808 2593),,(15.2871012069 2929),(6.98654289925 3139),(14.8292380097 3263),(10.5952411437 3475),(17.9234196637 3599),,(7.19664306414 3971),,,,(18.0325126541 4607),(7.63453626955 4819),,,,(16.8276265301 5456),,(17.2105853115 5791),,(13.6879067103 6127),(8.43568578943 6339),(15.127338238 6461),(15.2178055307 6640),,(13.8325364781 6973),(6.14466092501 7190),,
Point1,H4,(-0.0751636128635 135),(1.3749699914 307),(8.24254419637 425),(1.98257827541 637),(7.87894653883 764),(3.3369428083 981),(2.69006194987 1157),(9.0674713803 1273),,(2.3875301755 1668),,(1.2141935764 2003),,(2.42981899351 2340),(0.917667861945 2517),(2.5285428193 2672),(0.653651696069 2859),(1.91277900743 3012),(0.785783647857 3191),(3.30786923159 3345),(2.13828640773 3525),(2.37990878996 3683),,(1.78267911488 4018),(2.01107729391 4198),(4.08286850511 4355),,(2.44110818689 4688),(1.51525209507 4866),,,,(2.87823606901 5540),,,(9.20588421769 5998),(3.0244079984 6210),(2.86568374517 6386),,(3.01594337205 6724),(0.101845468019 6900),(6.01103512452 7018),(1.71085384365 7234),,
