Cycle,0.680125
Average Width,0.0
Width,,5.86426047662,10.6741499553,0.0,9.49041413104,0,0.0,0.0,6.65197601838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12615018472,6.19014192263,0.0,0.0,8.06692830803,0.0,11.237653853,0,9.18092606159,8.21059950552,8.6005628135,11.176408891,11.9499741941,0.0,0.0,0.0,0.0,59.4442235392,0.0,0.0,11.7632959819,0.0,0,16.794737589
Point0,H1,(14.1166798204 78),(12.0595047499 167),(10.9670424512 302),(8.37922289654 426),(11.1776220395 549),(11.0620893285 667),(10.304656139 790),(9.95201029066 917),(10.2258386411 1047),(9.28610848673 1186),(7.00488450857 1324),(7.00576796788 1468),(7.20037881342 1608),(7.13527686535 1747),(8.52042465066 1880),(8.79135297413 2018),(10.1526907731 2152),(11.5900314684 2298),(10.8411218336 2435),(9.57906083869 2576),(9.07649738236 2708),(12.0333468111 2838),(11.7693985775 2969),(13.754764163 3099),(13.414683536 3241),(12.7611707528 3399),(12.9080438851 3560),(12.333430403 3719),(10.4639148297 3879),(10.7806868674 4029),(11.8360022221 4183),(11.2185905589 4329),(8.0785821057 4483),(11.3217081993 4627),(9.35073462175 4762),(6.60616750132 4903),(11.3715806606 5047),(8.40536105449 5180),(9.42158658764 5330),(10.7439680811 5466),(10.9714859875 5609),
Point0,H2,,(2.5938441876 216),,,(1.63859665135 587),,,(2.92494350539 946),(2.83677166601 1078),(1.02072542577 1239),,(-1.7763568394e-15 1510),(0.681528495009 1647),(1.33844177684 1779),(1.49810678509 1924),(0.461953572271 2060),(1.63978499883 2195),(7.41653815499 2324),(5.01360213257 2467),(2.11248313752 2609),(2.21402153168 2735),(2.90107922868 2890),(3.88050967905 3013),,,,,,,(4.07632942997 4065),,(2.96489294549 4374),,(2.28297403377 4684),(1.59408056445 4807),(0.633265998663 4947),(2.33542855655 5098),,,(2.06193517394 5509),,
Point0,H3,,(2.95650650702 227),,,(2.14644739353 604),,,(3.05754108617 957),(3.91296265382 1097),(1.35777722974 1253),,(0.168009124402 1525),(0.814200805079 1658),(1.73832522331 1808),(2.14308827595 1938),(3.2829056579 2083),(2.1228397857 2208),(8.24789413669 2346),(5.13900581159 2474),(2.23103314686 2617),(2.94867446476 2753),(2.92289018069 2894),(4.26521319443 3024),,,,,,,(4.10050865038 4069),,(3.43221408914 4389),,(2.3094959091 4689),(1.85573111678 4818),(0.661917443042 4955),(2.46151445521 5106),,,(2.5870944163 5523),,
Point0,H4,,(1.97485766866 245),(0.639960518278 374),(1.82458527156 466),(2.09365286613 612),(1.87717055218 714),(4.4408920985e-15 839),,,(1.05521810688 1266),(-0.00102691449925 1405),(0.166623679198 1527),(-0.00390084250717 1677),(0.532624670408 1828),(0.494284723542 1958),(1.7763568394e-15 2104),(0.515147936335 2228),,(-7.9936057773e-15 2512),,,(0.648288698516 2917),(1.32016218913 3048),(6.36519151807 3144),(5.1399322256 3288),(-0.00331710117109 3484),(0.807280535853 3649),(-0.00841184039939 3822),(0.395349978124 3974),(-1.7763568394e-15 4114),(0.920907147951 4274),(7.9936057773e-15 4421),,(1.25204324755 4708),(0.909204486462 4839),(-0.0139552429484 4976),(1.06203082699 5126),(-4.4408920985e-16 5267),(0.987061707127 5411),(-3.99680288865e-15 5558),,
Point0,H5,,(2.05784593855 252),(0.923901872329 385),(2.13186513913 481),(2.12204210884 619),(1.93848381226 722),(0.936452459641 853),,,(1.49948056218 1279),(1.00962327653 1426),(1.78941544213 1568),(2.54446897962 1705),(1.13060273665 1841),(0.808285628539 1970),(0.7936602052 2117),(1.28721413389 2245),,(1.84988641736 2530),,,(1.21627699509 2929),(1.50216541496 3056),(6.68070873177 3153),(5.25067454659 3295),(0.60998318573 3502),(1.20690762032 3663),(0.461453612441 3840),(0.613909581903 3984),(1.5694169777 4133),(1.45330435525 4288),(1.55849933809 4441),,(1.689085938 4720),(1.06324088551 4853),(0.573533208991 4995),(1.30915466152 5136),(1.93880354419 5288),(1.32412839085 5423),(0.435909187287 5571),,
Point0,H6,(-0.00918266116224 1),(-0.00109237370225 125),(-0.00801301082281 272),(-0.00625859978903 399),(-2.6645352591e-15 511),(3.5527136788e-15 639),(-0.0054538828611 759),(4.4408920985e-15 839),(2.6645352591e-15 997),(7.54951656745e-15 1127),(1.11022302463e-14 1296),(-0.00102691449925 1405),(-1.7763568394e-15 1510),(-0.00390084250717 1677),(1.7763568394e-15 1855),(-1.7763568394e-15 1984),(1.7763568394e-15 2104),(-6.2172489379e-15 2264),(-8.881784197e-16 2403),(-0.374331253183 2546),(-5.99520433298e-15 2664),(-0.00646624241623 2798),(2.6645352591e-15 2942),(-4.4408920985e-15 3071),(-4.4408920985e-15 3210),(-0.00143534894327 3358),(-0.00331710117109 3484),(-7.1054273576e-15 3683),(-0.00841184039939 3822),(3.10862446895e-15 3997),(-1.7763568394e-15 4114),(-2.6645352591e-15 4303),(7.9936057773e-15 4421),(-0.00696212435667 4563),(-0.0160201807721 4736),(4.4408920985e-16 4876),(-0.0139552429484 4976),(-8.43769498715e-15 5152),(-4.4408920985e-16 5267),(2.6645352591e-15 5438),(-3.99680288865e-15 5558),
Point1,H1,(14.2261611773 76),(12.0412287623 166),(10.5821000025 302),(8.5719258944 425),(9.72039296479 547),(10.8178002321 665),(10.4001158024 790),(9.22703253998 916),(9.61992016184 1046),(9.15831218788 1184),(7.06489433137 1321),(7.39289908522 1465),(6.47505097435 1608),(6.49446259554 1746),(8.5649470032 1879),(9.61792584626 2018),(10.0827759544 2150),(11.3791804502 2296),(11.1247103174 2433),(10.241275976 2574),(9.80851856291 2707),(12.4180758194 2837),(11.8486834439 2967),(13.9374637834 3098),(13.1504480691 3239),(13.5982530428 3397),(13.3852676113 3558),(13.2965369188 3717),(11.6117564185 3878),(11.437288167 4027),(12.1297473318 4181),(12.1169098574 4327),(9.8769552834 4481),(11.0528401644 4626),(11.273537433 4761),(8.90383184767 4902),(12.570200485 5047),(11.2108332321 5178),(10.462073803 5327),(12.5624449955 5464),(12.4669113141 5608),
Point1,H2,,(1.84567265203 216),,,,(1.50676891208 711),,(2.26526256859 943),(3.45290769688 1086),(1.66930218017 1238),(0.973057146456 1363),,(0.409571609835 1643),(1.08469298144 1774),,(-0.00158174846794 2064),,(7.18938241481 2321),(5.13126652282 2464),(2.2086082836 2606),(2.79505300421 2734),,,,(5.23732817619 3288),,,,,,,(3.41977801777 4373),,,(2.19906071707 4807),,,(2.88768177834 5225),,(2.85172252084 5508),,
Point1,H3,,(2.21284149717 227),,,,(1.98277012374 722),,(2.54413206497 953),(3.61964096359 1097),(2.09455327978 1251),(1.31989277437 1376),,(0.857842274153 1659),(2.26064789938 1805),,(2.2647507757 2085),,(7.82945870326 2346),(5.38817827235 2474),(2.66872978482 2618),(3.73795807675 2752),,,,(5.25527727602 3292),,,,,,,(3.8806168166 4386),,,(2.36689472545 4816),,,(3.11098808639 5235),,(3.10414630448 5519),,
Point1,H4,,(1.48888770617 245),(0.542274252994 373),(1.33200679455 467),(0.932285952581 609),(-0.00507678735758 746),(0.974627561443 838),,,(1.37428808861 1268),(-1.24344978758e-14 1401),(-4.4408920985e-16 1507),(2.6645352591e-15 1678),(0.219434022991 1827),(1.06940506748 1924),(0.27110174376 2107),,(2.68555164291 2373),(-0.0033266810279 2512),,,(0.741911301142 2917),(3.83200085312 3015),(5.70483257038 3141),,(0.849966143716 3485),(1.30688636477 3648),(0.191545841251 3834),(0.623239182739 3972),(8.881784197e-16 4115),(1.07952157727 4273),(-1.11022302463e-14 4418),(-1.06581410364e-14 4563),(0.847906218243 4708),(1.32872241971 4839),(0.866699859937 4947),(1.6264730162 5125),(0.327158944799 5269),(0.703570157963 5410),(-9.7699626167e-15 5557),,
