Cycle,0.826019736842
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(8.98418238227 32),(9.86042648521 191),(9.95534538574 370),(7.71447372845 530),(9.25415519314 692),(9.65930035535 879),(7.00714730728 1026),(8.44642890087 1200),(7.81043638717 1388),(9.28872482127 1564),(10.7136742578 1757),(8.00700557646 1941),(7.96218758475 2112),(9.56715107936 2290),(8.96669377969 2463),(10.0510415398 2636),(7.98531677688 2817),(9.60984566646 2978),(10.5428529938 3153),(8.36161963995 3332),
Point0,H2,(3.74144652521 62),,,(4.1692835573 572),,,,(5.21746664903 1222),(4.76182277694 1413),(6.18627823748 1591),(7.52531190541 1780),,(4.15241489141 2157),(4.63112544897 2335),(6.26885617349 2487),(4.83171594522 2667),,,,
Point0,H3,(4.76947365581 81),,,(5.55058983487 591),,,,(5.33591583637 1229),(4.97599449806 1424),(7.23519560289 1614),(7.85184683562 1792),,(4.65794427002 2169),(5.19335413562 2350),(7.97075605055 2507),(5.5478429537 2687),,,,
Point0,H4,(0.0289379025336 126),,,(2.34098066143 633),,(0.521279882904 977),(4.32102133615 1052),(0.932698322103 1315),(0.908072039511 1500),(3.93407635236 1662),(2.67147662316 1887),(4.14227688853 1980),(0.544698078652 2236),(1.64028382929 2387),(1.21765800983 2572),(1.71132812874 2746),(3.53946530159 2862),,,
Point0,H5,(0.104524091905 137),,,(2.7697382073 646),,(0.614110298682 985),(5.21325408688 1073),(1.87987662994 1334),(1.28323598913 1512),(4.1323942719 1673),(2.69742399482 1892),(5.18081031021 1996),(0.675496152876 2247),(1.98319449585 2401),(1.41709310827 2583),(1.78302082879 2755),(3.90973997311 2874),,,
Point0,H6,(-0.014632559458 151),(-1.7763568394e-15 343),(-3.5527136788e-15 501),(-2.6645352591e-15 665),(-4.4408920985e-15 845),(3.10862446895e-15 998),(1.7763568394e-15 1172),(5.3290705182e-15 1355),(-8.881784197e-16 1529),(-4.4408920985e-15 1720),(-0.00802508529483 1914),(2.6645352591e-15 2081),(2.6645352591e-15 2261),(-0.00146161983832 2426),(-0.000748618156519 2602),(-1.7763568394e-15 2788),(-0.00712445638045 2933),(8.881784197e-16 3123),(-4.4408920985e-16 3304),
Point1,H1,(10.1661273842 31),(11.1195723198 191),(11.2214571767 369),(9.44177741754 529),(10.9786277883 690),(11.0470354411 877),(8.76615726041 1027),(10.7238009457 1199),(9.80889704292 1388),(10.4833070388 1561),(11.0822417715 1755),(8.77774623696 1940),(9.04012951241 2111),(11.0845427578 2290),(9.29075574402 2458),(10.133528797 2635),(9.03924061708 2815),(10.3037787864 2977),(11.5225614316 3152),(9.83664665344 3330),(8.40023980258 3494),
Point1,H2,(3.23407477674 61),,,(4.97006762243 571),,(5.82521984304 908),(5.41820289011 1055),,,(7.34075951986 1590),,(4.94729176564 1980),(4.81882668343 2156),(4.94972889347 2333),(6.62046880877 2488),(4.93560790208 2669),,(6.10291799993 3005),,,
Point1,H3,(5.29757209372 82),,,(6.41210754478 590),,(5.8341284304 912),(6.06511119655 1074),,,(8.04406626349 1607),,(5.54609186287 1995),(5.25913126725 2169),(5.37600372992 2348),(8.05369356312 2506),(5.33767042261 2688),,(7.33294791608 3026),,,
Point1,H4,(-0.00222261701132 123),,(5.39095930057 417),(1.90997069007 634),,(1.06733453217 974),(2.61465355079 1126),,,(1.94621385253 1698),,(1.1489276885 2046),(0.390475240863 2234),(1.62591311986 2391),(1.30436328579 2572),(1.76495464507 2741),(3.81933635068 2861),(2.18678683025 3073),,,
Point1,H5,(0.27054091651 141),,(5.45869832823 425),(2.60669043056 647),,(1.36551911304 984),(2.6153774405 1128),,,(1.94662448274 1699),,(1.15347339964 2050),(0.613951005796 2247),(2.18009118046 2406),(1.66706783503 2584),(1.89851853346 2752),(4.06640070877 2872),(2.60770875453 3086),,,
Point1,H6,(-0.00222261701132 123),(1.7763568394e-15 342),(7.1054273576e-15 499),(0.0 665),(8.881784197e-16 844),(8.881784197e-16 1000),(-2.6645352591e-15 1172),(-2.22044604925e-15 1355),(-8.881784197e-16 1529),(3.5527136788e-15 1721),(-0.00421446330394 1913),(1.33226762955e-15 2077),(8.881784197e-16 2260),(2.6645352591e-15 2426),(3.5527136788e-15 2601),(4.4408920985e-16 2785),(-0.0107247729068 2933),(-8.881784197e-16 3119),(-8.881784197e-16 3304),(-0.0242019563961 3464),
Point2,H1,(14.3123497376 29),(16.3896615262 189),(16.8048326411 367),(13.5556917796 527),(14.7580026841 689),(15.3199308374 874),(12.9347296931 1024),(15.3848978068 1197),(14.3120255566 1386),(13.6682611454 1558),(15.9675084277 1753),(12.7912346045 1939),(14.9120225772 2108),(15.5477299001 2288),(13.5644533239 2454),(15.2638122081 2631),(14.9070919712 2814),(15.2362876035 2973),(16.3185375993 3148),(14.8985240014 3330),(12.5239617548 3492),
Point2,H2,,,,(6.96043232877 566),,,,,,,(9.52473430661 1782),(6.76249493912 1976),(8.40264715188 2132),(7.38930171259 2330),,(7.95334606861 2660),,,,,
Point2,H3,,,,(8.18677768319 583),,,,,,,(9.81939958436 1792),(8.00246524124 1993),(8.70401844343 2142),(8.45065328677 2345),,(8.28344346083 2671),,,,,
Point2,H4,(5.30971632847 56),,(1.49573790305 476),(1.42612058496 633),,(1.56891063368 971),(7.08326251436 1059),,(1.57479812743 1497),(8.68833826743 1592),(2.55734925161 1884),(2.11258155708 2038),(2.12112162771 2213),(1.57797176711 2392),(8.69866315929 2485),(2.55307700372 2741),(6.80943088914 2856),(8.78711840004 2998),,,
Point2,H5,(6.62645900828 80),,(1.57458951754 484),(2.2988138303 646),,(2.0159272249 982),(8.51353078555 1078),,(2.3777781744 1510),(10.8924346217 1611),(2.69711573852 1892),(2.43181567015 2049),(2.18654640785 2220),(2.71484143633 2407),(10.817569676 2505),(2.66009040617 2750),(6.86314669476 2863),(9.74784139459 3024),,,
Point2,H6,(-0.0161457719125 141),(1.24344978758e-14 339),(8.881784197e-15 500),(-3.5527136788e-15 662),(-7.9936057773e-15 839),(3.5527136788e-15 997),(9.7699626167e-15 1168),(7.1054273576e-15 1351),(5.3290705182e-15 1527),(8.881784197e-15 1719),(1.24344978758e-14 1910),(-0.00276739246308 2073),(6.2172489379e-15 2257),(-0.00351401987531 2423),(4.4408920985e-15 2598),(0.0 2783),(-0.00641741737939 2935),(-7.1054273576e-15 3117),(2.6645352591e-15 3301),(-0.00396744868664 3461),
Point3,H1,(17.9486177131 30),(20.5870784382 190),(21.6868388126 369),(17.8726362749 529),(19.417904676 690),(20.1129767691 875),(17.5536571324 1025),(20.1060669499 1199),(20.2520890173 1388),(18.5046750052 1558),(20.7920646728 1755),(17.3649291326 1940),(19.5700936571 2109),(20.628292563 2289),(17.4694743431 2456),(19.8496780882 2632),(19.4071853021 2816),(20.0315030601 2974),(20.7815744709 3150),(19.4838493355 3332),(16.13239611 3494),
Point3,H2,(6.33502684037 57),,(10.5220824067 414),(9.12625667291 568),(10.0032185278 733),,,,,,(12.1155623767 1783),(8.03725625326 1977),,(9.56963175445 2333),,,(8.63281228723 2858),,,,
Point3,H3,(7.7652779997 83),,(10.5586015057 420),(10.8377131452 585),(10.3335788325 743),,,,,,(12.543922805 1793),(9.73057986759 1995),,(10.0805619761 2345),,,(8.70311765588 2865),,,,
Point3,H4,(0.842140525655 126),,(1.73416985152 476),(2.78979296376 637),(2.92339607962 811),(2.23647320751 975),(9.29480416357 1064),,(2.79399250883 1502),(11.8940912344 1593),(3.03344347367 1885),(1.72010851323 2039),,(1.44140029125 2394),(10.6322222774 2487),(10.2831091252 2666),(1.35514613123 2910),(11.0262544113 2999),,,
Point3,H5,(0.84414544244 128),,(2.16774560342 487),(2.95301733083 645),(3.26626501805 821),(2.31008172781 982),(10.9827683118 1081),,(2.94514905987 1509),(13.9608956241 1611),(3.42283973887 1895),(2.4416018745 2054),,(2.54473608222 2408),(13.3335756867 2507),(10.5460705726 2676),(1.4252667935 2917),(12.3788614046 3028),,,
Point3,H6,(-0.00336930852143 157),(-3.5527136788e-15 341),(8.881784197e-16 502),(1.06581410364e-14 663),(7.1054273576e-15 840),(-5.3290705182e-15 998),(-1.7763568394e-15 1170),(-1.24344978758e-14 1354),(-1.7763568394e-15 1528),(-0.000514914066519 1721),(-5.3290705182e-15 1912),(-0.000671593840103 2075),(2.6645352591e-15 2261),(-0.00518925378499 2424),(8.881784197e-15 2600),(-7.1054273576e-15 2787),(-4.4408920985e-15 2938),(1.7763568394e-15 3119),(8.881784197e-16 3304),(-0.0106715898401 3464),
