Cycle,0.738112449799
Average Width,4.8615756642
Width,,4.39890080166,4.00667008773,4.2387132825,4.42897658465,4.98465394651,4.41136415563,4.90560733638,4.36107142568,4.70677814015,4.45687062429,4.14230719797,4.70690899187,4.9235782817,4.09462879881,4.38860415636,4.58307616188,4.78713441322,4.42108740556,5.59246644721,4.34298807618,3.82677989413,4.25253290457,4.31079235743,3.98419441923,4.10151677406,4.08273199536,4.60746007777,4.46044980599,4.36717836927,5.07680390108,4.87904905787,5.05284673372,5.04939333461,4.42947165548,5.18026751266,4.73605107873,4.34760750701,4.52044911617,4.6283108256,4.33862941017,4.85393128459,5.04287363936,4.40729200157,4.66482683008,4.98797631269,4.82777236339,4.55374750296,9.88054885358,4.42597869103,4.91960733955,4.80548360692,5.31789441381,5.19714490966,5.28820147258,4.9627745328,5.12608217547,6.57203195039,11.4101923264,4.38016335611,5.59235752301,5.86554394977,4.56156028744,4.92483672866,5.60020466238,5.62421891822,6.67873471159,6.56443423484,4.13882297036,4.89217688066,4.96441190527,5.23761670522,5.59613131473,6.31041420208,6.25381380443,6.16002861705,5.60884864802,5.41592921525,5.61299887109,5.46739819034,6.610606602,7.13957335971,4.72975234263,5.79094100332,8.0374232437
Point0,H1,(9.62995882076 26),(9.23511384003 170),(8.83104407927 321),(9.54682954415 474),(11.1993745037 619),(10.7932733068 777),(10.9412598523 922),(12.9717881981 1073),(11.965118715 1222),(8.76447546713 1363),(7.66327431692 1502),(7.84199622576 1662),(9.74771187279 1813),(8.56080193471 1969),(10.7357745252 2125),(11.6818855958 2287),(10.876743744 2445),(10.6877273897 2600),(12.757295064 2757),(10.7613788713 2902),(9.32763805723 3045),(9.46399386754 3182),(10.0849487362 3331),(11.1838542601 3484),(10.390126005 3641),(10.0975444442 3802),(10.8320358742 3963),(9.54040193232 4120),(10.4950578118 4266),(9.57169629084 4426),(10.7229906385 4566),(12.7565104265 4712),(10.6883603726 4851),(11.3269281852 4986),(10.9769528693 5127),(11.8714962421 5267),(11.4375791566 5400),(10.0050678333 5544),(9.15784989868 5685),(9.63986580606 5828),(9.27098872355 5966),(9.81128830666 6118),(10.4084409677 6264),(13.1219724205 6420),(10.939858006 6571),(11.4285423188 6715),(7.82277712565 6857),(10.8032898277 7016),(7.44380006144 7189),(9.29702160037 7306),(12.1200332528 7462),(10.0681561571 7609),(10.0691188993 7753),(9.76363832478 7905),(8.03019576921 8053),(8.22252772444 8199),(11.7280418775 8353),(7.48929624043 8494),(10.7106571345 8617),(12.6058436968 8743),(10.8284640535 8900),(10.5751183737 9059),(11.9883236817 9222),(11.8974975547 9385),(10.337702034 9543),(10.2965685476 9689),(9.78517151923 9843),(9.6635497199 9992),(11.7661646076 10136),(11.5646882348 10284),(10.0477378089 10435),(9.59758035501 10575),(13.3053507927 10723),(11.4621470903 10877),(9.13790547043 11036),(9.03531051599 11197),(6.82492263921 11352),(11.6023740822 11512),(10.9035684051 11671),(10.2940724976 11823),(7.81173976502 11977),(7.2745448609 12125),(11.5987342964 12275),(7.84149836598 12423),
Point0,H2,(4.51216083438 67),(7.57708953592 185),,(4.9105755955 517),(6.56806519012 666),(3.84351284564 820),(5.12768247219 966),,(3.41248214385 1271),(3.44084509692 1401),(2.71525118424 1547),,(6.57400789923 1845),,(4.85046654255 2171),(7.60294785907 2332),,,,,(3.59343863204 3097),(4.7373678366 3223),(6.04417640698 3367),(5.31869578745 3528),(5.07474553429 3688),,,,(5.39235551396 4308),(1.95271327075 4464),(7.57036726451 4583),(5.76443837906 4755),(5.88572354827 4876),(5.05698949633 5031),(4.97619967271 5174),,,(4.98158279577 5589),,(4.09721239576 5863),(5.35673775112 5998),,(5.07567641449 6305),(6.50672869568 6449),(6.08411302674 6614),,(2.10720958192 6907),(1.02140518266e-14 7061),(2.03878177605 7253),(4.07886688184 7347),(6.75949771517 7491),(7.32738636996 7627),(4.49112303988 7788),(5.14430449571 7942),(5.1620503808 8079),(3.81399823819 8243),(2.14218057919 8380),(2.73377246399 8517),(4.41925419525 8643),(7.46163508335 8761),,(4.54387959264 9110),,(5.84369880827 9432),(5.22835292397 9576),(2.77553174506 9732),,(3.40679695047 10037),(8.32781211521 10156),(4.10066027851 10342),,,(3.38966305593 10772),,,,,,(4.58631931841 11714),(5.86524118659 11857),(6.34943304462 11992),(1.72654985917 12170),(4.97442624555 12311),,
Point0,H3,(5.26611676373 81),(7.9788780504 196),,(5.19960974867 527),(6.63099639597 673),(5.14822641886 837),(5.6222792118 978),,(4.0523440908 1284),(3.45578320127 1406),(4.40451152963 1569),,(7.27318877993 1862),,(5.06012355526 2181),(8.08514974714 2348),,,,,(3.68160661216 3104),(4.82590054863 3233),(6.21717199061 3382),(5.86896750659 3540),(5.36731504088 3699),,,,(5.85954321704 4322),(3.61905280377 4483),(9.36630923726 4597),(6.26767023515 4767),(7.23976419094 4893),(5.522947334 5043),(5.30055057935 5185),,,(5.26375148281 5599),,(4.09933669959 5865),(6.28612357212 6014),,(6.62307195572 6328),(7.35257272517 6470),(6.09289643109 6618),,(2.12698229767 6911),(2.53979474624 7084),(2.22006952931 7262),(4.18063021262 7356),(7.66290965682 7513),(7.59794850845 7637),(5.04124316735 7803),(7.44881231048 7968),(5.31727282413 8089),(4.12053591216 8255),(3.31017049103 8395),(5.57751336832 8538),(7.8992516419 8661),(8.80194539994 8773),,(4.64946301427 9120),,(5.85773083815 9436),(5.37307337481 9590),(5.59251468342 9748),,(3.78046859973 10049),(8.54737720584 10165),(4.18171421647 10350),,,(3.9157220167 10786),,,,,,(4.76538600678 11727),(7.87866620366 11878),(6.68005274645 12002),(1.92050636005 12185),(5.22856704353 12321),,
Point0,H4,(2.18322419935 113),(2.12660223465 262),(2.90076955206 392),(1.22551637101 562),(2.23936433196 726),(3.43981280424 865),(1.72415288543 1012),,(2.9076897655 1300),(0.38355255719 1442),(1.33226762955e-15 1592),(1.54280593521 1745),(2.73968047813 1907),(2.17350771907 2068),(1.65642086928 2227),,(1.66389319333 2542),,,,(2.14151168335 3126),(2.1998167459 3271),(2.73242483705 3428),,(2.13876875645 3747),(2.01142130974 3905),,,,,(2.95006157508 4633),(2.53790377297 4791),,(4.79718850719 5061),(3.23840955009 5206),,(1.4413282844 5482),,(1.86567246864 5765),(1.53158386633 5908),(2.19529499978 6047),,(1.86452085888 6356),(2.28828005682 6517),,(-0.00428330695603 6793),(-0.00120018629567 6934),(6.66133814775e-15 7135),,(2.32540744591 7393),(1.77480332171 7563),(1.14471547176 7704),(3.40354812483 7842),,(0.220278215149 8133),(0.857906338601 8285),(1.73670610621 8418),,(1.79969375875 8689),(0.824250091058 8834),,(1.28775252909 9159),,(2.21747442488 9475),,(0.535305755296 9774),,(0.55527754456 10089),(2.43526527512 10230),(1.66864333545 10372),(1.72946651463 10511),,(0.892600047922 10821),,(1.22852300799 11139),,,(2.04821389437 11604),(1.91508326289 11763),(2.55656185632 11927),(4.22568088656 12024),(0.815212881002 12210),(1.80158630017 12354),,
Point0,H5,(2.54440441294 126),(2.39575892278 272),(3.32014757507 404),(2.17922118375 577),(2.39101240792 734),(3.90977459234 878),(2.07957251739 1023),,(3.31024628605 1311),(1.69546253458 1458),(1.22696556149 1608),(1.92348276728 1758),(2.96183062585 1917),(2.27268878141 2076),(2.44870280088 2240),,(1.72068514367 2550),,,,(2.30967765425 3135),(2.31374650094 3278),(2.74262239516 3432),,(2.8700872294 3760),(2.68888574679 3919),,,,,(4.22023368747 4653),(2.83691532629 4800),,(4.80666972505 5064),(3.32395907136 5213),,(1.44416676797 5485),,(1.88039149569 5770),(1.73914560742 5918),(2.66836286871 6061),,(3.65641256741 6371),(3.13206989937 6529),,(2.34749815906 6817),(2.40815619902 6962),(7.29048535689 7162),,(2.51453043241 7403),(1.77823443148 7565),(1.30115968998 7712),(3.65096810969 7853),,(0.926369475134 8147),(0.996265749346 8293),(2.9736223785 8434),,(4.07464163925 8705),(2.50830517106 8851),,(1.36570681965 9166),,(2.27767039647 9483),,(1.72955902532 9792),,(0.676416796341 10096),(2.76681620548 10239),(2.853340795 10386),(3.23126001177 10528),,(1.15742375774 10832),,(2.31130286289 11154),,,(2.8498998399 11617),(2.83618573611 11777),(2.59897325437 11933),(4.59664752563 12036),(1.70181257939 12225),(1.80677824192 12357),,
Point0,H6,(7.9936057773e-15 145),(-8.881784197e-16 290),(-3.5527136788e-15 446),(-1.59872115546e-14 592),(-1.86517468137e-14 752),(-1.06581410364e-14 897),(-1.68753899743e-14 1040),(-1.59872115546e-14 1188),(-8.881784197e-15 1331),(-0.00715169043159 1474),(1.33226762955e-15 1592),(-3.5527136788e-15 1777),(-1.06581410364e-14 1938),(-2.6645352591e-15 2096),(1.7763568394e-15 2257),(-1.24344978758e-14 2417),(2.6645352591e-15 2574),(-0.00285150545332 2722),(-1.7763568394e-15 2867),(-0.00474025131824 3012),(-3.5527136788e-15 3153),(-4.4408920985e-15 3298),(4.4408920985e-15 3456),(-6.2172489379e-15 3615),(-3.5527136788e-15 3777),(8.881784197e-15 3937),(1.7763568394e-15 4092),(7.1054273576e-15 4239),(-7.9936057773e-15 4386),(3.33066907388e-15 4514),(5.3290705182e-15 4680),(-0.00400459050451 4820),(-5.3290705182e-15 4959),(0.0 5096),(-4.4408920985e-15 5234),(-0.00178431587731 5374),(9.7699626167e-15 5513),(-0.00674250859942 5652),(4.88498130835e-15 5793),(-5.3290705182e-15 5936),(7.9936057773e-15 6083),(-5.3290705182e-15 6238),(1.15463194561e-14 6388),(4.4408920985e-15 6546),(1.68753899743e-14 6688),(-0.00428330695603 6793),(-0.00120018629567 6934),(1.02140518266e-14 7061),(6.66133814775e-15 7135),(-2.22044604925e-15 7280),(4.4408920985e-15 7427),(-1.7763568394e-15 7583),(6.66133814775e-15 7727),(1.7763568394e-15 7874),(7.1054273576e-15 8018),(-2.6645352591e-15 8161),(-2.13162820728e-14 8312),(-2.57571741713e-14 8453),(-5.3290705182e-15 8569),(-6.2172489379e-15 8722),(-1.7763568394e-15 8870),(1.33226762955e-14 9025),(9.7699626167e-15 9186),(5.3290705182e-15 9351),(1.50990331349e-14 9509),(3.5527136788e-15 9662),(5.3290705182e-15 9810),(3.5527136788e-15 9964),(1.15463194561e-14 10109),(7.1054273576e-15 10257),(7.1054273576e-15 10403),(-0.00417035859792 10547),(1.11022302463e-14 10679),(9.7699626167e-15 10846),(-0.00286380418352 10987),(2.6645352591e-15 11170),(-3.5527136788e-15 11326),(2.22044604925e-15 11482),(4.4408920985e-15 11635),(2.6645352591e-15 11794),(0.0 11953),(-1.33226762955e-15 12096),(-3.99680288865e-15 12241),(-7.1054273576e-15 12392),
Point1,H1,(11.1056259923 26),(10.9155972099 171),(10.7573192513 319),(11.6114225321 474),(12.6770015282 620),(12.1923490121 777),(11.9716408127 923),(14.4220578662 1073),(13.0295149994 1223),(10.5986170299 1363),(10.1602117239 1502),(9.30631192373 1658),(12.0471969966 1813),(11.5756233054 1968),(13.3267039084 2127),(13.1647642816 2287),(12.478614465 2445),(13.2815517407 2601),(14.0986333636 2758),(12.493899419 2903),(12.353348603 3046),(12.4537650528 3181),(12.4248865445 3332),(13.982929904 3485),(13.4654641901 3642),(13.1233796831 3803),(13.2266733373 3963),(12.1179668762 4121),(13.1959345279 4266),(12.0561296519 4426),(12.8541001326 4567),(14.242293914 4712),(12.2521412145 4852),(13.523831625 4988),(13.1845116689 5128),(13.8593786235 5267),(14.550277596 5402),(13.2981587655 5544),(12.2593955164 5686),(12.7369954763 5828),(12.4726259628 5965),(13.2732096472 6118),(13.5848410478 6265),(14.9162869864 6421),(13.5726438973 6572),(13.7023963676 6716),(10.6544744106 6859),(11.9997708258 7017),(10.7199836575 7162),(11.9261362823 7306),(14.8441796751 7463),(13.0870491439 7609),(12.3959153474 7754),(12.5962539037 7906),(10.4762820845 8053),(10.7900033727 8201),(13.0683467326 8350),(7.86397933368 8492),(13.2596033819 8617),(14.5319045997 8745),(12.7997389206 8901),(12.7889030221 9059),(14.611436425 9223),(13.7753175638 9384),(12.9451109217 9543),(12.9158205653 9689),(11.8963192727 9844),(12.5546851427 9993),(14.5526801191 10137),(13.9195854273 10284),(12.2095621543 10435),(11.5615949601 10578),(15.6589824353 10725),(13.7653407693 10877),(11.7072572376 11034),(11.808328283 11195),(9.24493323784 11353),(13.3537860978 11512),(13.1475556733 11669),(12.5259872432 11823),(10.1079611803 11978),(10.4658921537 12126),(13.9409393956 12276),(10.1621814903 12424),
Point1,H2,(4.70801312358 73),,,(4.90697034378 519),(6.56268703704 665),(4.30884713646 821),(5.18455599537 967),(7.42031110709 1104),(3.91943810354 1274),,(3.93558110033 1538),,(7.30998928544 1845),(6.01229847364 2007),(6.0358809169 2174),(7.5923632948 2335),,(8.77782043153 2622),(6.55372338773 2791),,,(6.10162410164 3224),(7.08526319598 3370),(6.65090246745 3529),(6.37395577745 3689),,(4.76943423128 4013),(5.4340400698 4166),(5.65644776539 4311),(2.69834445746 4466),(8.35453228438 4585),(5.6158413288 4757),(5.51470379418 4877),,(5.54933495993 5174),(6.11568888519 5298),,(5.17752262546 5592),(3.82772758776 5737),(5.1901981006 5862),(6.42033162446 6001),,(5.81702426496 6305),(7.22655104837 6450),(6.8058416636 6611),(5.39808893498 6757),,(-8.881784197e-15 7062),(8.10347960405 7182),(4.98441886833 7349),(7.49971461051 7492),(7.92010915429 7630),(4.712040726 7791),(6.23582152713 7941),(5.81298861153 8082),(5.28688803419 8242),(2.55907379802 8383),(2.86493587543 8518),(5.68202674335 8645),,,,,,(5.54390707451 9574),(3.87124617147 9733),,(5.13558726869 10036),(8.83889975048 10159),,,,,,,,,(5.60039146635 11558),,(6.57372078733 11859),(7.2773283397 11998),(3.17587310685 12166),(5.87603910809 12313),,
Point1,H3,(4.72155332432 77),,,(4.95436893042 526),(6.8277216836 675),(5.28657110617 835),(5.60326114508 979),(7.50613509685 1110),(4.09856703266 1283),,(5.87957968927 1568),,(7.5598788034 1861),(6.0916119338 2016),(6.05731080334 2179),(7.68070197175 2345),,(8.77894492847 2624),(6.59970950479 2799),,,(6.25521580886 3233),(7.30096816638 3382),(7.12874905044 3540),(6.60336620994 3699),,(4.81355738451 4021),(6.26371081553 4179),(5.90699622945 4323),(4.04153901976 4483),(9.94452935869 4599),(5.90825035326 4767),(7.0222104961 4894),,(5.67433284857 5183),(6.31253436591 5306),,(5.39539744976 5601),(3.90556579465 5744),(5.23374228145 5868),(7.11768644439 6015),,(6.57621955351 6325),(7.45869262169 6474),(6.97598760141 6621),(5.42103756046 6761),,(1.4730003931 7095),(8.12777244447 7187),(5.00427699296 7354),(8.59611025312 7513),(8.05101217502 7636),(6.12939886554 7810),(7.33877388669 7962),(5.973872461 8092),(5.30544511645 8247),(2.94813179605 8394),(5.41001552369 8537),(7.74100432373 8661),,,,,,(6.26925386387 9594),(6.81803033427 9749),,(5.19389758721 10043),(8.9630960814 10165),,,,,,,,,(5.72385798297 11567),,(7.71057107933 11877),(7.2811057886 12000),(3.73535289826 12182),(5.89167186694 12318),,
Point1,H4,(2.39338241487 118),(2.41228833342 262),,(1.58857105438 564),(2.08804808335 727),(3.11932357213 865),(2.40445683618 1012),,(2.99940178015 1301),(-1.7763568394e-15 1443),(0.161890126641 1593),(1.39650635987 1747),(2.93420067904 1908),(2.23696345681 2072),(2.06445231081 2229),(3.72603953179 2390),(1.91113231887 2538),(5.08342794122 2647),,,(2.87147760143 3128),(2.55805267274 3270),(2.75783067673 3428),(2.55545648841 3589),(2.44404258143 3748),(1.89312230376 3908),,(0.849973818788 4215),(2.35338471799 4363),,(2.89342772939 4636),(2.14345593455 4792),(2.44847052723 4935),,,,(1.85043403718 5480),,(2.51814396662 5767),(2.47573070146 5908),(2.25725840188 6050),(1.78234644247 6216),(1.79983407482 6357),(2.21547354128 6518),(2.69847398352 6664),(0.813496187224 6796),(0.663357082787 6944),(1.2554012852 7111),(2.12907267154 7253),(2.30626835643 7393),(1.91722307328 7562),(1.27520377471 7704),(3.41438368771 7843),,(0.927431175837 8135),(0.728341532585 8287),(0.573834390971 8420),,(2.22695843353 8690),,,(1.96415298742 9159),,(1.78356937464 9477),(1.51505734393 9642),(1.02872064691 9774),,,(3.35217591299 10232),(1.9212940561 10375),(1.82953164787 10513),,,(-0.0145348738792 10988),(0.821784832912 11140),(1.38748574456 11302),(0.838951521719 11447),(1.80199745908 11605),(2.0855109986 11765),(2.13179825034 11927),(4.40120155522 12023),(1.78894616369 12211),,,
