Cycle,0.654540229885
Average Width,0
Width,,0,31.0251763841,0,0,0,14.7027755344,0,0,0,0,0,0,0,0,0,8.83289309321,7.09066490991,6.41075684699,7.48637833185,6.43830294183,0,0,0,0,0,0,0,0,0,0
Point0,H1,(21.72966612 29),(19.5001188259 154),(20.453158424 272),(21.5203003014 395),(20.9580542683 518),(20.8987581059 645),(22.3913577312 780),(20.8153197218 923),(21.4118976533 1059),(23.0006750599 1196),(23.8542375374 1326),(22.0307862048 1456),(20.4816874002 1584),(18.2836911171 1728),(19.8749619682 1870),(19.744686109 2004),(25.5513431301 2142),(21.3678256598 2281),(22.9894508375 2417),(23.7295171696 2558),(22.8973432651 2701),(21.4060365914 2840),(23.43507105 2974),(21.3528727429 3107),(21.1292173104 3243),(21.5905241826 3376),(20.2724072016 3511),(22.6550352148 3647),(20.2553419366 3796),(20.6328000535 3951),
Point0,H2,,,,,,,,(6.51351390005 948),,,,(7.72406869179 1492),(7.5101851682 1619),,,(5.80473897594 2037),(13.4508687919 2167),,,,,,,,,,(7.3744725863 3542),(9.82394288114 3684),,
Point0,H3,,,,,,,,(11.2628654242 976),,,,(10.3114150162 1512),(9.65240509434 1638),,,(8.40331420579 2054),(13.6840435185 2175),,,,,,,,,,(9.77091695946 3561),(11.606130362 3702),,
Point0,H4,(7.68059657132 58),(6.99384008044 183),(6.97272250735 307),(7.0163668807 421),(5.76827282569 547),(5.75631005165 676),(6.40121535551 806),(5.10392210413 1006),(5.98357969767 1092),(6.97290538441 1223),(7.90301918327 1353),(4.71553522498 1537),(2.94286370177 1678),(6.15870446329 1762),(7.55043751451 1895),(0.0 2091),(13.4190234928 2184),(7.42232501027 2308),(9.58476610422 2450),(8.17075067243 2587),(8.70982491453 2726),(7.36467740861 2867),(8.19044012371 3002),(8.7029778015 3138),(7.34579954526 3269),(8.31326684397 3405),(1.37105961601 3600),(2.9685226594 3742),,
Point0,H5,(9.68251711064 82),(9.48596398065 204),(8.28097227003 326),(11.1616842574 444),(11.3702197829 569),(9.74404597157 696),(10.3215975693 831),(5.21437125979 1012),(11.1006015803 1114),(9.88575328228 1248),(11.0362271149 1383),(4.7322543494 1540),(3.12711905323 1685),(9.96998768351 1784),(10.5534242652 1923),(1.39060518113 2106),(13.8633759928 2195),(9.74775085385 2327),(11.6388735363 2467),(10.7887855887 2609),(11.248457432 2752),(11.2562098038 2888),(11.75900025 3025),(11.8796807586 3158),(10.327350613 3288),(11.3601599392 3429),(1.51022976366 3606),(3.32303287594 3750),,
Point0,H6,(-0.00461262006764 121),(7.1054273576e-15 246),(5.3290705182e-15 363),(1.59872115546e-14 489),(0.0 616),(-2.6645352591e-15 750),(-5.3290705182e-15 888),(-0.00841553764114 1032),(8.881784197e-16 1163),(-3.5527136788e-15 1300),(7.1054273576e-15 1430),(1.7763568394e-15 1559),(7.9936057773e-15 1702),(1.50990331349e-14 1841),(-1.59872115546e-14 1976),(0.0 2091),(-0.0136987940637 2247),(-3.5527136788e-15 2388),(-0.0680256876769 2523),(-0.0199016167014 2664),(-7.1054273576e-15 2807),(-2.84217094304e-14 2942),(-7.1054273576e-15 3078),(-0.00585593241503 3209),(-0.000498366097208 3347),(3.5527136788e-15 3479),(3.5527136788e-15 3620),(-5.3290705182e-15 3767),(-1.50990331349e-14 3923),
Point1,H1,(17.859859874 31),(15.6179539913 156),(16.960571954 273),(17.9855880405 396),(16.4335679402 519),(15.6555592496 647),(17.6524915909 782),(16.7641573134 924),(18.2516292623 1060),(20.5843636403 1197),(20.5186184477 1327),(19.1539266697 1457),(17.2839090137 1585),(17.0185555789 1730),(18.1879310643 1871),(18.734447028 2005),(24.914113212 2144),(20.4591857709 2283),(21.6636662495 2418),(22.7068256615 2559),(20.8961366949 2702),(18.8720890961 2842),(20.8126471529 2975),(18.068327454 3108),(17.4203853075 3244),(17.9314263652 3377),(16.6087150047 3514),(17.9529985654 3649),(15.9021148223 3797),(17.2622846863 3952),
Point1,H2,,,,,,,,(5.47023643815 948),,,,,(6.46371196502 1620),,,(5.65472927443 2037),(13.9703633045 2170),,,,,,,,,,(5.90928447302 3544),(8.27923888783 3685),,
Point1,H3,,,,,,,,(9.49651947903 973),,,,,(8.90789038043 1640),,,(7.78679191877 2054),(13.9750453416 2173),,,,,,,,,,(8.17558482546 3563),(9.44612363093 3702),,
Point1,H4,(5.78474918759 62),(5.49513136405 185),(5.50629194 309),(6.42809101936 423),(4.3627010622 548),(4.49139803417 677),(5.17996132047 807),(3.83607401913 1005),(5.04825847845 1094),(6.2168688071 1225),(7.28394815602 1356),(6.80377859783 1492),(2.61852906509 1677),(5.81009464189 1764),(7.07120473151 1896),(-0.0095887376515 2093),(13.6460904593 2184),(7.22117956623 2310),(9.38367906752 2451),(7.70465065135 2589),(8.30910845572 2729),(6.66671654439 2868),(7.78779520475 3004),(7.59771406799 3141),(6.1538100752 3271),(7.10722359232 3407),(1.08038503078 3600),(2.14309864028 3743),,
