Cycle,0.909107142857
Average Width,0.0
Width,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(5.6011915574 64),(8.49284639716 277),(9.31210164578 504),(7.11166989126 696),(8.98594368261 892),(7.59142545363 1069),(9.17454420411 1265),(6.86564889846 1461),(7.78743284393 1653),(7.30831634923 1871),(6.47806602998 2050),(6.51082441575 2245),(9.94872661596 2431),(6.53782932863 2659),(5.69619343485 2825),
Point0,H2,,(3.05976718734 388),(6.80542860173 527),,,,,(2.90805689064 1540),(6.35524864957 1711),,(5.42493052933 2069),(3.12571483808 2331),,,,
Point0,H3,,(3.0757002818 394),(7.5021857874 541),,,,,(2.96692377228 1551),(6.37700847248 1717),,(5.53754483531 2079),(3.37497383464 2342),,,,
Point0,H4,,(-1.06581410364e-14 441),,(0.256488711036 792),,(1.64313007645e-14 1168),,(0.56762821738 1597),,,(1.94864346672 2156),(2.6645352591e-15 2368),(3.26864155345 2508),(1.50860363215 2750),,
Point0,H5,,(9.18902345969 481),,(0.852376396046 810),,(2.09564811741 1203),,(1.11935391496 1610),,,(2.38555344296 2175),(0.639999619211 2384),(3.28171597211 2514),(1.74948967558 2761),,
Point0,H6,(-1.34275367208 32),(-4.4408920985e-16 143),(-0.00919485324692 239),(-1.06581410364e-14 441),(-1.06581410364e-14 633),(-1.15463194561e-14 830),(8.881784197e-16 1033),(1.64313007645e-14 1168),(9.7699626167e-15 1236),(-4.88498130835e-15 1422),(2.22044604925e-15 1624),(-1.7763568394e-15 1815),(1.7763568394e-15 2020),(-8.881784197e-16 2201),(2.6645352591e-15 2368),(-0.00343467684189 2592),(4.4408920985e-15 2781),
Point1,H1,(9.05683260538 37),(10.0960964502 249),(10.2960372516 451),(8.46347239141 643),(9.83876584531 840),(8.13268664866 1040),(9.93496628835 1239),(7.85092801504 1431),(8.76202209197 1628),(8.21646561157 1838),(7.58393383307 2024),(7.54433847055 2216),(10.2400235796 2404),(6.99062091673 2626),(6.61207138592 2795),
Point1,H2,,,(6.54668789621 504),(5.57694926551 691),(9.41201538496 851),,(4.25940890298 1286),,,(5.27975068724 1874),(4.37001764567 2071),,(3.55547806962 2481),,,
Point1,H3,,,(6.57848855811 510),(5.84898751687 701),(9.76609711906 862),,(4.75337629157 1300),,,(5.36179901282 1884),(4.42158917486 2078),,(3.74721528381 2493),,,
Point1,H4,,,(1.40742302769 580),(-0.122823608919 764),(6.55781316941 887),(-0.00185323889676 1139),(1.72847891365 1363),(0.648995241179 1573),(5.99747984596 1672),(2.00463716408 1951),(1.45044714979 2135),,(7.1054273576e-15 2562),(1.86081354165 2722),,
Point1,H5,,,(1.66290096761 589),(0.843835033723 784),(6.70301868743 895),(1.38487529612 1179),(1.73850840082 1368),(0.67495933618 1579),(6.23585342821 1689),(2.07176952135 1960),(1.77092239418 2152),,(6.94588887749 2605),(2.0902389065 2733),,
Point1,H6,(-0.113729054369 4),(4.4408920985e-15 209),(-4.4408920985e-15 414),(-1.7763568394e-15 606),(-0.122823608919 764),(-8.881784197e-16 1006),(-0.00185323889676 1139),(-0.0126130947589 1204),(5.3290705182e-15 1394),(-0.00170827706258 1594),(5.3290705182e-15 1790),(4.88498130835e-15 1990),(3.5527136788e-15 2174),(0.0 2341),(7.1054273576e-15 2562),(4.4408920985e-16 2755),
