Cycle,0.815945121951
Average Width,5.4297471755
Width,,7.22217169347,7.2508763828,8.07925750072,6.9331433893,6.3478109711,6.88431313669,6.45982784042,6.329476208,5.82292002677,6.77048692584,6.33870931888,5.59077750651,5.74757969452,5.43102639506,5.61455284973,6.2069394179,5.49058945789,5.79748737573,5.62891197984,5.30461834892,5.07190154972,4.81540835139,5.09319750247,5.20040922319,4.96115892461,5.00089406288,5.06293420348,4.85896579157,5.07106493228,4.97094696039,5.98782934258,5.31745967306,5.49680387005,5.29022274191,4.84970465813,4.74975671814,4.56170945737,4.68965972299,4.59514735067,4.67718075522,4.7303435531,4.64569276398
Point0,H1,(6.11034217996 30),(4.42549452027 189),(5.32835913157 349),(5.01970839534 512),(6.13253013377 684),(6.54634074453 853),(7.00845181687 1021),(6.24544117124 1194),(5.72025499227 1359),(6.66454378041 1515),(6.65713140339 1681),(4.89133110416 1847),(6.17409923749 2012),(6.31102738057 2186),(6.3018729921 2347),(6.45738958094 2523),(5.4789456265 2688),(6.85768138692 2856),(6.28293894723 3022),(5.95183910688 3185),(7.08690658454 3348),(6.03066500298 3518),(5.75546389863 3677),(6.702037883 3849),(6.46340064157 4014),(6.23497799398 4185),(6.8345255649 4348),(7.0288970419 4523),(6.8781145289 4695),(7.19986948097 4860),(8.2831711 5035),(7.26359414569 5210),(8.23535046775 5374),(6.38016668465 5546),(6.04356213363 5716),(5.76658549735 5882),(5.07737972665 6048),(5.63125572328 6223),(6.95453781829 6382),(6.22032954762 6555),(5.44976459891 6717),(6.68366968671 6879),
Point0,H2,(3.62347932772 62),(2.31620891043 224),(3.14946624337 392),,,(3.62049914991 891),,,(4.33036410429 1386),,,(2.81104194257 1888),(3.63960367996 2067),,(4.7396426888 2364),,,,(3.91400105882 3065),(4.02028789494 3217),,,,,(4.62031077996 4056),(4.20244228847 4215),(5.23060553711 4366),(5.34803202477 4544),(4.63020816104 4729),(5.09215225989 4880),(6.25419303976 5056),(4.92385629632 5241),(5.21091773269 5418),,,,(4.82768616345 6060),,(2.72122856662 6458),(4.10257511162 6595),,
Point0,H3,(3.62978929313 66),(2.40207645357 237),(3.19992325705 400),,,(3.637390854 896),,,(4.43420453815 1400),,,(2.81208302232 1891),(3.79294254788 2080),,(5.02155212232 2374),,,,(3.97310415383 3074),(4.48240898551 3235),,,,,(4.68981844674 4066),(4.75542133797 4231),(5.30905911352 4373),(5.40562189654 4552),(4.69422991198 4739),(5.17010834985 4887),(6.29322285446 5062),(5.48164427766 5256),(5.5200471636 5430),,,,(4.8400582306 6064),,(2.8052342412 6466),(4.47331708258 6612),,
Point0,H4,,(1.7763568394e-15 296),(0.916689869337 436),(0.341175694901 620),(1.26941466343 788),(0.974569417379 951),,(1.05569966147 1290),,(1.14347170316 1617),(0.980914969413 1783),,(1.37462534017 2116),,(3.55106506865 2394),,(1.77812552546 2782),(2.1114283136 2943),,(1.42008844799 3287),,(1.10760777078 3619),(1.19120786854 3783),,,,(1.90578014268 4426),,,(2.27708099102 4936),,,(2.10707880324 5473),,(1.24052060725 5807),(3.06929190853 5925),(2.92699052192 6089),(1.68147207195 6302),(1.5865337271 6487),(2.7743299372 6638),,
Point0,H5,,(0.532296411904 312),(0.968831712439 446),(0.380158674348 630),(1.29960530488 795),(0.981746637616 956),,(1.16073513762 1301),,(1.18302123466 1627),(1.10234144277 1794),,(1.59639136074 2128),,(3.8402179536 2406),,(1.86488032344 2793),(2.17776992387 2951),,(1.57392529143 3297),,(1.34921894734 3633),(1.44615296211 3794),,,,(2.09372674784 4437),,,(2.51188130152 4948),,,(2.28580756321 5485),,(1.53856691006 5824),(3.38979239799 5943),(3.42259890604 6103),(1.76600920794 6311),(1.97156735566 6500),(2.78946973216 6643),,
Point0,H6,(3.5527136788e-15 161),(1.7763568394e-15 296),(2.6645352591e-15 481),(1.7763568394e-15 650),(8.881784197e-16 819),(-3.10862446895e-15 990),(0.0 1158),(-5.77315972805e-15 1325),(-3.99680288865e-15 1476),(-3.5527136788e-15 1649),(2.22044604925e-15 1812),(-0.00517240231496 1979),(5.3290705182e-15 2150),(6.66133814775e-15 2320),(-2.6645352591e-15 2485),(-8.43769498715e-15 2656),(-6.2172489379e-15 2820),(1.7763568394e-15 2995),(8.881784197e-16 3154),(-8.43769498715e-15 3316),(-4.4408920985e-16 3488),(3.5527136788e-15 3651),(-2.22044604925e-15 3813),(1.33226762955e-15 3982),(-4.4408920985e-16 4149),(-4.4408920985e-15 4320),(-1.33226762955e-15 4487),(2.6645352591e-15 4661),(4.4408920985e-16 4832),(4.88498130835e-15 5002),(4.4408920985e-15 5172),(-0.00481619253298 5346),(-0.00104853454926 5520),(-3.10862446895e-15 5685),(2.22044604925e-15 5848),(-1.33226762955e-15 6020),(-0.00177792246517 6180),(-0.00516966663754 6353),(-8.881784197e-15 6520),(-0.00416683788123 6690),(-3.5527136788e-15 6850),
Point1,H1,(9.99878931732 32),(8.15100633842 192),(8.67850421134 351),(9.2240761879 513),(10.7893662645 686),(10.7857590665 854),(11.761864549 1023),(10.8952553471 1196),(10.7750152945 1359),(10.4174484043 1519),(10.4954180491 1682),(8.82491439283 1845),(10.6620212578 2015),(10.5396022945 2189),(10.4150472078 2351),(10.492954759 2525),(10.3251142709 2688),(11.5829046239 2858),(9.88603288198 3023),(9.77640363212 3186),(11.1351390826 3351),(11.044066537 3519),(9.92576997763 3679),(11.0983896955 3845),(11.0663653955 4014),(10.6676736874 4186),(11.5449685419 4351),(11.7133963008 4526),(10.5726175239 4698),(12.0572587774 4863),(12.5029454847 5038),(11.2737567068 5209),(12.4826348892 5377),(10.3027673848 5550),(9.33731957722 5719),(9.16431839073 5887),(9.21195278978 6050),(9.20859825122 6223),(11.2164928238 6384),(9.83691856262 6558),(9.47657335069 6720),(10.7859902321 6882),
Point1,H2,,(3.89031789381 226),,,,(6.1869551253 891),(6.7797809631 1070),,,,(2.76147721055 1761),,(5.6293234061 2061),,(5.16619132806 2395),,,,(7.30134358395 3045),,,(5.01737019106 3566),(5.66665546179 3726),(6.49180965228 3888),(5.85335337838 4059),,(4.91192629124 4398),(6.37078711361 4576),(6.36170764852 4734),,(8.73790348301 5059),(6.98690620106 5245),(6.97680035034 5422),,,,(8.49713761388 6062),,,(5.35942881781 6600),,
Point1,H3,,(4.09306389426 238),,,,(6.44421181219 901),(6.86611643122 1077),,,,(2.90208582681 1769),,(6.03438513572 2073),,(5.71273911124 2410),,,,(7.30218297799 3046),,,(5.12890242481 3574),(5.71393264895 3733),(6.54367076375 3894),(6.24229564694 4071),,(5.25937457813 4408),(6.37414594512 4579),(6.39489344596 4740),,(8.83475395608 5065),(7.34601087201 5258),(7.2496391196 5431),,,,(8.61803330508 6069),,,(5.72982872515 6615),,
Point1,H4,,(1.49820623144 280),,,(2.21937063111 793),,(2.34869314019 1132),,,(1.41963018159 1630),(1.75512667801 1787),(1.74046917149 1934),(2.26340733094 2123),,(2.23730436863 2456),,(2.88602709377 2793),(3.30415044235 2948),(5.67595960104 3071),,,(1.56851455816 3626),(2.62924211957 3786),,(3.69794248925 4095),,(3.11910385007 4431),(2.49478502551 4637),,(2.09458881924 4970),,,(2.29714071889 5481),,(1.54544190343 5811),,(4.86080718518 6094),(1.75195948881 6327),(1.82624843579 6489),,,
