Cycle,0.708215277778
Average Width,7.28230731558
Width,,7.02122127979,7.16993097761,7.81808861024,7.76253476715,7.29891732578,6.08412925274,4.75325932157,7.31375828398,9.64076723258,6.7373708377,0,0.0,5.78287493568,6.83664682063,7.13653302451,6.8325261454,5.63332803871,6.98515919645,0.0
Point0,H1,(7.94407966151 73),(7.69669864942 201),(7.36133291589 360),(9.56510253848 515),(9.14863889814 672),(7.23971629879 828),(2.84121487284 906),(8.82496505274 980),(9.49032147629 1134),(9.00290275095 1276),(10.9792832854 1455),(9.40156712194 1580),(6.19847672658 1728),(7.82065166998 1896),(7.45442543433 2041),(6.92980492595 2200),(5.65122138278 2270),(8.24731421734 2358),(9.10584080121 2499),(8.70660288135 2666),(7.40761741173 2808),
Point0,H2,,,(4.20033322743 398),(7.35028506564 531),(6.83940008586 689),,,(8.23745472217 994),(7.48100651019 1163),(7.03622720287 1305),,,,,,,(1.63475671864 2291),,,
Point0,H3,,,(6.33183751062 418),(7.65581887191 540),(8.31647838811 705),,,(8.57903573285 1006),(7.49492865962 1168),(7.52832378245 1321),,,,,,,(1.92737158505 2300),,,
Point0,H4,(2.56952700592 128),(2.05455860959 280),(0.195144357789 457),(3.06715894624 591),(2.0057538683 767),,,(3.82678860757 1047),,(3.5527136788e-15 1385),(2.48009039641 1486),,(3.31004968296 1747),(1.11834238224 1973),,,,(4.76904176648 2425),,
Point0,H5,(3.23324739666 141),(2.74147290914 297),(1.31021553189 475),(3.39309574899 603),(2.54885346916 779),,,(3.88858251453 1054),,(7.63800974115 1425),(5.24113318216 1505),,(4.90123725726 1768),(1.47407360932 1989),,,,(5.02540136911 2438),,
Point0,H6,(6.2172489379e-15 164),(1.7763568394e-15 321),(0.0 489),(-0.00439096777656 634),(-0.0119507479227 798),(5.99520433298e-15 870),(-0.0597316420709 936),(2.6645352591e-15 1095),(-8.881784197e-16 1240),(3.5527136788e-15 1385),(-4.4408920985e-15 1545),(-0.00499598370135 1685),(4.4408920985e-16 1852),(3.10862446895e-15 2009),(4.4408920985e-15 2152),(0.0 2317),(-1.7763568394e-15 2474),(-0.00144461511287 2632),(2.6645352591e-15 2780),
Point1,H1,(8.11294557863 29),(7.74167504708 198),(8.35161078416 357),(10.9341864085 513),(10.2097543823 670),(9.60824845557 830),(7.69714971544 978),(10.1307045906 1133),(9.1734751811 1270),(10.7471458382 1454),(9.35037254144 1581),(6.85925852089 1726),(9.502605572 1897),(9.13152020638 2047),(8.79978479614 2196),(9.07799185465 2353),(10.4061921405 2497),(9.79453583935 2663),(7.22742843011 2812),
Point1,H2,(4.91230214581 47),,(4.55537517879 398),(8.18448844307 531),,,(7.01844383025 992),(7.32161596291 1159),(7.40253921364 1304),,,,,,(3.15115746706 2252),(8.40377816441 2371),(4.83912403565 2529),,
Point1,H3,(7.65676343642 67),,(5.73320733857 416),(8.28010950511 537),,,(7.30533923879 1003),(7.48074836656 1169),(7.48191339553 1313),,,,,,(5.23123524422 2268),(8.41519574039 2376),(5.53594438726 2548),,
Point1,H4,(0.928943764208 128),,(0.749522574506 454),(5.24500813279 562),,(2.65846513377 875),(2.95961408179 1040),,(-5.3290705182e-15 1383),(3.00590908859 1484),(-0.00257995575541 1684),(4.1432708307 1745),(1.65206824263 1975),,(1.15032174907 2292),(4.74881600562 2423),(3.04822591548 2589),,
Point1,H5,(1.55158007128 143),,(1.84272242113 472),(5.35264543794 569),,(4.45278537562 900),(3.30234631179 1051),,(7.14293195673 1422),(5.43757958127 1503),(0.024227792821 1690),(5.75688551637 1764),(1.67328994089 1982),,(1.19111556271 2297),(5.77121503485 2442),(3.3749727425 2602),,
Point1,H6,(4.4408920985e-16 165),(7.1054273576e-15 319),(7.1054273576e-15 487),(3.5527136788e-15 632),(-3.5527136788e-15 795),(6.2172489379e-15 947),(-0.00391339790575 1094),(0.0 1240),(-5.3290705182e-15 1383),(2.6645352591e-15 1542),(-0.0484717770851 1697),(-6.2172489379e-15 1851),(-6.2172489379e-15 2007),(-3.10862446895e-15 2146),(-5.3290705182e-15 2313),(-3.5527136788e-15 2472),(-1.7763568394e-15 2629),(0.0 2775),
Point2,H1,(8.45302174467 29),(8.34752313029 194),(9.0147044031 357),(10.8361402215 513),(10.8407441374 670),(9.94209212614 831),(7.76238829239 981),(10.2076120058 1133),(9.14333481647 1272),(11.5846506813 1454),(9.44058416346 1579),(6.84554105798 1726),(9.36843543885 1897),(9.41506170219 2045),(8.94446327504 2200),(9.68055605699 2354),(10.2275734394 2497),(9.59824906273 2664),(6.66576046393 2812),
Point2,H2,(4.70741117641 47),(6.85402328287 211),(4.17816645076 399),(8.2033150297 528),(7.92209086509 688),,,,(8.23517335577 1299),,(5.83272021125 1633),(4.28816468745 1743),(7.23612761105 1922),,(3.43847663795 2252),(9.20902799412 2370),(4.69188389869 2525),,
Point2,H3,(7.92549849374 67),(7.10924848746 222),(5.81914603678 418),(8.86448478115 539),(8.96590622914 701),,,,(8.28886133638 1308),,(5.83308817097 1634),(6.44537072665 1760),(7.23769178964 1925),,(5.80237627661 2268),(9.24168590851 2376),(6.51512679766 2552),,
Point2,H4,(1.05263522673 130),(2.67346867294 278),(0.987572065404 456),(5.39352715119 562),(2.4207394054 767),(3.22749159728 877),(2.55190609641 1041),(7.0178888856 1159),(7.9936057773e-15 1382),(3.05123138687 1485),(0.274192119694 1686),,,,(0.889365610137 2294),(6.16128927672 2426),(3.8952885946 2584),,
Point2,H5,(1.42266155706 144),(3.06484485797 292),(2.22772616681 473),(5.576947575 570),(2.42134842508 769),(5.04590985781 900),(2.93621193524 1053),(7.38453082513 1174),(6.99441698114 1422),(5.71797469713 1504),(0.274485899769 1687),,,,(0.893677356252 2296),(6.18332423018 2431),(4.06559743893 2596),,
Point2,H6,(-1.50990331349e-14 165),(0.0 319),(1.59872115546e-14 488),(7.9936057773e-15 633),(-1.7763568394e-15 795),(-1.33226762955e-15 949),(-0.0056036338465 1092),(8.881784197e-16 1240),(7.9936057773e-15 1382),(1.7763568394e-15 1541),(-1.7763568394e-15 1699),(-0.00373047919376 1850),(7.9936057773e-15 2007),(3.10862446895e-15 2148),(8.881784197e-16 2312),(-2.6645352591e-15 2471),(-1.7763568394e-15 2630),(-3.10862446895e-15 2776),
Point3,H1,(5.83530050082 66),(5.80760163419 195),(7.69105213416 357),(9.26520099593 514),(8.67973690543 671),(7.96172628517 833),(6.71894913828 984),(8.41232672019 1133),(7.18156511263 1275),(9.3017454438 1456),(6.81619425414 1575),(5.93574994601 1726),(7.99010078389 1900),(7.4815038839 2040),(7.44675187906 2201),(8.51349938878 2382),(9.48985954798 2497),(7.89770544632 2665),(5.88110621733 2815),
Point3,H2,,(4.986530084 210),(3.16442183344 401),(7.04302626942 530),(6.60497408588 688),(2.7159742128 877),(1.90126501186 1045),(5.61488690508 1159),(5.47087570201 1296),,,(2.71767736601 1744),,,,,(3.75920031703 2525),,
Point3,H3,,(5.47218470062 227),(4.82701772842 421),(7.62404517882 541),(7.78243363922 703),(4.26222669602 905),(1.96566532295 1051),(5.87074901469 1171),(6.62286920367 1316),,,(5.76415885797 1767),,,,,(5.24784819528 2555),,
Point3,H4,(0.955097498533 130),(1.81606952368 284),(1.80741325651 455),,(6.42712656727 724),(0.0500489032806 935),(0.702361380049 1076),(1.83516123747 1217),(-3.10862446895e-15 1382),(1.97898576277 1486),(5.43293469475 1628),,(1.70967995863 1978),,,(5.70650837163 2424),(3.59999340739 2591),,
Point3,H5,(1.09905383868 141),(2.48954268455 298),(2.81115281866 472),,(6.42749381283 725),(0.0887658334944 940),(0.702807361739 1078),(1.90549976805 1224),(4.69414010471 1420),(4.548919264 1505),(5.55347102358 1638),,(1.81020303447 1988),,,(6.3876314818 2439),(3.82243322984 2602),,
Point3,H6,(4.4408920985e-15 163),(-1.7763568394e-15 321),(1.7763568394e-15 490),(0.0 635),(4.4408920985e-16 794),(-2.22044604925e-15 948),(-7.1054273576e-15 1096),(-2.6645352591e-15 1243),(-3.10862446895e-15 1382),(-3.5527136788e-15 1542),(-0.00498558475547 1694),(1.33226762955e-15 1853),(0.0 2009),(8.881784197e-16 2144),(-0.0055434403599 2315),(1.7763568394e-15 2472),(-0.00875942789626 2632),(-0.0049400107166 2780),
