Cycle,0.669533333333
Average Width,5.91356711622
Width,,8.19625422374,6.45198948049,6.38521063246,7.24526292568,5.49692670864,7.05332599874,5.28700722935,5.56805876587,6.43277003984,8.4873651589,5.29248557223,6.08148588832,7.69378604007,5.54043479407,6.47987566284,5.74397524479,4.9281050109,4.86006466451,5.02260671448,6.37557882026,4.73138505843,4.64338542714,7.63243114625,5.5070479015,8.89703616107,6.44416297062
Point0,H1,(13.1706123534 29),(14.4484475754 185),(13.9098115254 342),(8.10491722881 491),(14.8060338096 638),(16.7447070835 780),(12.8022607237 921),(13.797790461 1053),(14.2732158405 1188),(13.8291517218 1322),(11.5799427068 1450),(12.3148842617 1580),(13.0148935546 1722),(11.5517458627 1863),(14.3004553201 2000),(14.3877541952 2141),(15.541134767 2287),(12.738301561 2431),(12.6208619707 2573),(13.8376795978 2715),(12.2626748277 2858),(10.7626093635 2997),(13.0577809651 3133),(11.8902509347 3264),(13.4915737983 3400),(8.91022909488 3532),
Point0,H2,(5.14539646237 58),(6.37533359701 209),,(0.94327986575 515),,,,,(6.8750634289 1213),(4.16608521134 1343),(3.42590517569 1473),(2.30634482397 1608),(1.77986459099 1746),(1.76836691602 1886),,(5.16281727574 2169),,(4.3570831221 2457),(5.19317613672 2600),(4.79475666759 2741),(3.41539108531 2883),,,(5.08886674231 3290),,,
Point0,H3,(6.09024005651 73),(9.39677579152 230),,(5.68149061316 540),,,,,(9.94416254886 1231),(7.60851933527 1362),(7.09541654922 1497),(4.75506482296 1633),(5.0214479964 1769),(5.76024253329 1906),,(7.11035798364 2189),,(8.82043987166 2478),(7.27634361863 2621),(7.16501713735 2765),(7.20050105085 2905),,,(6.86983650094 3307),,,
Point0,H4,(-0.209947618924 119),(2.15475596237 262),(6.96779085996 366),(-0.101533384441 581),(5.6964417354 664),(7.49724304709 806),(2.77843064546 945),(4.59020041167 1082),(0.458987671036 1281),(-0.0238919953887 1406),(-0.0219653779011 1531),(0.378503832831 1673),(7.9936057773e-15 1798),(1.31926011943 1944),(6.13166275305 2026),(1.39877899307 2231),(7.84703529523 2314),(1.59909550818 2518),(0.0178578278879 2672),(2.62035926489 2794),(1.30618925688 2937),(4.42848355144 3019),(6.46731871636 3156),(1.51553563272 3334),(6.44369286368 3426),,
Point0,H5,(1.03757633723 135),(3.27451824924 289),(9.50262157232 385),(2.44045406792 599),(9.25291505509 687),(10.3789898598 827),(5.70654048742 966),(6.13134136424 1100),(0.460200441266 1283),(0.0653421206461 1415),(0.754450968747 1543),(0.584452541759 1684),(1.08880021071 1815),(2.01851385541 1956),(9.39474215342 2046),(2.71462000648 2246),(9.4940456788 2331),(1.83691903276 2529),(0.0881234856343 2678),(2.80316116365 2803),(1.39257808268 2944),(8.94725864572 3040),(8.56641610912 3179),(3.55761105786 3351),(7.81605859356 3442),,
Point0,H6,(-0.0928635532094 2),(-0.209947618924 119),(-8.881784197e-16 310),(1.06581410364e-14 467),(-0.101533384441 581),(0.0 750),(-0.00867611397767 891),(-1.7763568394e-15 1026),(-0.00481776511245 1152),(-4.4408920985e-15 1294),(-0.0238919953887 1406),(-0.0219653779011 1531),(3.5527136788e-15 1695),(7.9936057773e-15 1798),(0.0 1972),(-8.881784197e-16 2115),(1.06581410364e-14 2261),(3.5527136788e-15 2404),(-1.15463194561e-14 2546),(-0.0140267224151 2685),(3.5527136788e-15 2828),(6.2172489379e-15 2964),(8.881784197e-15 3107),(-0.0080666985458 3236),(-0.0106795256247 3369),(-0.0264025521877 3509),
Point1,H1,(16.2069848643 28),(18.010595958 184),(16.7752241238 340),(12.6118931489 490),(18.2619362481 637),(18.9049374938 780),(16.7974344742 921),(17.868495996 1053),(17.0405214491 1188),(15.7607558865 1321),(15.7364922868 1450),(16.6266854306 1580),(15.4503774199 1722),(15.4163018884 1863),(17.4215288288 1999),(18.4287652668 2141),(19.9793413971 2286),(17.8140108716 2431),(17.7007812577 2572),(17.1219279617 2715),(17.3245125326 2858),(16.0350596155 2994),(16.1116494046 3132),(15.9753276932 3263),(14.8223011583 3398),(12.6419662307 3532),
Point1,H2,(5.80050388427 55),(7.59001050653 207),,(2.87116362878 514),,,(4.39463508006 945),,(6.24994769211 1213),,(4.92403282647 1474),,(3.04313469177 1745),(4.01990865639 1886),(7.45189500973 2025),(6.75022815137 2167),(8.88955605049 2313),(6.25744504559 2457),(6.31058491794 2598),(6.50114675296 2739),(5.91865092224 2881),,,(6.42335229459 3289),(6.89170081408 3424),,
Point1,H3,(7.93858046473 74),(10.8077074247 227),,(8.2932129199 539),,,(8.70770774916 965),,(10.3151660942 1232),,(9.39413632262 1496),,(7.67418640738 1768),(9.10788317806 1905),(11.6129964685 2044),(10.4078769396 2187),(11.5770583821 2331),(10.8470787628 2477),(10.0163486325 2618),(9.08994055405 2760),(10.5235805296 2902),,,(9.21707019692 3307),(9.18806598918 3441),,
Point1,H4,(1.07871542676 120),(3.31663103286 277),(7.25190960685 365),(1.03381134538 583),(6.96995705719 664),(6.68020340196 805),(2.29916702297 998),(5.81406709583 1079),(-0.00366004955582 1280),(3.84085615745 1343),(1.75063983134 1529),(5.04851380582 1607),(0.821064357689 1800),(1.5690038308 1944),(1.58439586083 2091),(1.57118179043 2233),(2.50926276932 2379),(1.48353215187 2522),(9.7699626167e-15 2669),(2.66933718377 2793),(2.32477604408 2936),(7.06012272395 3019),(6.96951060811 3156),(2.71798881657 3336),(3.00315034926 3482),,
Point1,H5,(2.16091296458 134),(3.89099637888 290),(10.0942639701 383),(2.65813055718 598),(10.5253991524 685),(10.3025796789 827),(2.5042102999 1006),(9.04776025371 1100),(0.0443809682748 1285),(8.74819816493 1364),(2.09748111015 1539),(7.4889773858 1629),(1.86275835597 1813),(2.52478030655 1956),(1.92371640505 2100),(2.52958808765 2245),(2.88719285849 2388),(1.65463342128 2531),(0.488322902925 2680),(2.74136505577 2798),(2.7249145028 2946),(11.159095208 3038),(10.4921755004 3177),(3.33600195317 3348),(3.02005562124 3486),,
Point1,H6,(-0.0512502516352 1),(-1.7763568394e-15 150),(-0.00245634848691 310),(-9.7699626167e-15 464),(8.881784197e-16 612),(-4.4408920985e-15 751),(0.0 888),(1.33226762955e-14 1025),(1.24344978758e-14 1155),(-0.0528554998106 1292),(-6.2172489379e-15 1419),(-7.9936057773e-15 1555),(-0.00406470179868 1693),(8.881784197e-16 1831),(6.2172489379e-15 1972),(-1.50990331349e-14 2114),(-0.00994528768784 2259),(1.06581410364e-14 2404),(1.42108547152e-14 2545),(9.7699626167e-15 2669),(1.59872115546e-14 2827),(2.6645352591e-15 2964),(5.3290705182e-15 3107),(8.881784197e-15 3234),(4.4408920985e-15 3367),(1.33226762955e-14 3507),
Point2,H1,(17.1955761297 27),(18.0249045297 183),(16.3067619475 338),(14.8224863485 489),(16.8542859666 636),(18.0145175295 779),(15.9141614036 920),(17.2467022143 1052),(16.4781386214 1187),(15.9083835817 1320),(15.2916784206 1449),(17.1725937925 1580),(15.7393546528 1721),(15.1601730064 1861),(17.1654454359 1998),(17.9182790648 2139),(17.8043623935 2285),(16.7455924474 2429),(17.03306048 2571),(16.9663729666 2713),(16.0911484968 2857),(15.2076338519 2993),(16.8466405799 3131),(15.7337507695 3262),(14.6439021584 3396),(13.7271741066 3531),
Point2,H2,(5.93330256737 53),,,(3.66470047584 512),(5.02414282845 663),(5.95999648128 804),(3.7768916123 943),(4.8612713361 1077),,(3.24659359043 1343),(3.94029798795 1472),,(3.55469626708 1743),(4.15007679518 1884),(7.36820149533 2024),(6.43459851242 2166),(7.01160636398 2312),(5.74842673587 2456),(6.09632907482 2595),(5.11473739848 2738),(4.60591701529 2879),,(6.64505644734 3155),(6.31234550234 3288),,
Point2,H3,(8.09092891222 73),,,(8.46801538853 537),(9.03963783912 684),(9.40055087842 825),(8.7915618513 964),(9.35183884691 1100),,(7.58530709714 1362),(8.59171298985 1495),,(7.2814217088 1763),(8.93483090966 1903),(10.8820248981 2043),(9.14233068737 2185),(10.6625848422 2331),(9.81639629405 2476),(9.32858409161 2617),(8.41395413757 2759),(8.80756050644 2900),,(10.1079849198 3175),(9.35783420246 3306),,
