Cycle,0.680080645161
Average Width,6.96784030002
Width,,6.29467081948,6.21270005107,6.23485854403,6.70115223893,6.09421325352,6.600378555,6.72057847236,6.87996676263,7.68872748609,7.85437990174,8.73317500863,7.76395317836,7.94176731574,7.43058594132,7.88043641906,7.40201511126,6.80016163234,7.50814324664,7.45320123664,6.92091138343,7.37292965237,7.22740395983,7.29887362061,7.14472917802,7.13494268607,7.22224752085,6.86713613067,7.03310521227,7.28692022139,6.79492243555,7.25715809735,7.32853489972,7.47458676301,7.93940832528,7.62835242913,7.5968932814,7.16567518262,9.54214568943,8.4046207004,6.0380990614,6.49649871603,6.55172354634,6.16039605749,6.46800359589,6.31935414133,6.12746284111,6.42186267546,6.34505348968,7.2427518874,6.77940722531,8.44440926992,6.67257799619,7.00196986376,7.80713186148,7.87177961145,6.75576206084,7.11855301309,6.59131948942,7.46709215237,6.62910608996,6.6418577175,6.99477435056,5.21035174807
Point0,H1,(12.8733551685 24),(14.3230377688 152),(15.390088385 284),(16.0325873011 418),(15.5158153592 557),(18.8481429099 705),(20.180580065 858),(22.2533569012 1018),(19.3970480622 1175),(19.0054978191 1328),(19.4599928768 1484),(12.7814426594 1637),(16.5803561696 1783),(19.4556347653 1927),(14.9380646389 2065),(16.1297412516 2199),(17.6412229046 2331),(15.4728461627 2468),(15.1785997926 2596),(15.761970082 2727),(15.7438354642 2868),(13.9378263427 3006),(17.3476874547 3144),(16.4199954274 3287),(16.9028498112 3432),(14.7906125747 3576),(14.2086629187 3719),(15.0832489603 3861),(13.7516915857 4003),(13.1634239474 4138),(13.8148758042 4279),(13.7126292068 4409),(14.7429861404 4542),(11.2116401049 4678),(11.7668619221 4808),(15.9962806326 4936),(16.3815216649 5066),(12.6411995125 5200),(16.0582960148 5342),(14.1870945562 5480),(15.6680479203 5621),(15.1729711079 5766),(13.7159020967 5909),(14.4262007304 6042),(14.5224230281 6183),(12.9422531679 6316),(11.633850517 6445),(12.2798348819 6567),(14.6992761404 6681),(15.7805589351 6807),(17.1105537191 6937),(18.0075397299 7083),(19.6963125009 7241),(18.4397176547 7398),(14.9322142524 7538),(15.0256552382 7677),(16.7896386572 7817),(17.270111447 7956),(16.6600170542 8083),(19.3416241862 8212),(15.8097300261 8337),(15.749734452 8460),(13.2583524843 8586),
Point0,H2,(3.00899298283 49),(2.95482991551 178),(5.20665036228 311),(4.84655172425 444),(7.01471660549 585),,(8.02541880175 886),(11.604028278 1044),(7.58231105707 1200),,(9.45039783061 1512),,(4.85925504811 1806),(7.37637831182 1950),(3.25283658663 2091),(4.10858362807 2224),(7.05148388447 2357),(4.43740687589 2491),(4.38087655902 2620),(2.81250028513 2750),(3.30697186009 2891),(3.06912496828 3032),(6.91042146065 3167),,(6.78966265843 3456),(3.09871750346 3602),(4.95084592282 3743),(5.26481489643 3886),(4.23621931841 4028),(4.86311691516 4163),(4.12178131603 4302),(5.06038341647 4434),(6.26414720238 4570),(2.28159937811 4701),(3.09735168867 4834),(7.09490976737 4961),(8.06516879225 5089),(1.72471655144 5228),(7.03620428617 5368),(4.86730143697 5502),(4.71926860933 5646),(4.88620971037 5790),(4.63178070265 5933),(4.70843411212 6069),(5.70561214866 6206),(4.00479274547 6343),(3.66428786071 6471),(3.01054120026 6592),(5.63971177889 6707),(8.43280111544 6832),(8.22889156218 6964),,(7.0238292821 7270),(7.33527116099 7422),(5.21269935467 7562),(2.02029046449 7704),(2.10350165908 7846),(2.64547596034 7983),(1.2581127729 8109),(6.73175852796 8237),(5.10994130673 8361),(2.51618901854 8487),,
Point0,H3,(7.73134898782 72),(5.24206198694 200),(7.36919312167 328),(8.20934344505 462),(9.3575913616 604),,(9.84493168153 903),(11.9046143168 1060),(10.2901653697 1220),,(11.7990946347 1530),,(7.76935772498 1828),(11.0153044433 1971),(6.87242429497 2109),(7.23152567156 2244),(10.9533175556 2377),(8.51492510194 2509),(8.27051397046 2640),(6.19468952709 2773),(7.73169349009 2910),(6.72512234282 3050),(9.56865241148 3189),,(8.15407438067 3473),(7.85827976413 3624),(7.7940783529 3766),(8.17921465037 3906),(7.98656855031 4047),(8.72114860558 4186),(7.20602974986 4321),(7.54497748432 4453),(7.48658455516 4585),(4.94115231434 4720),(5.90954354481 4853),(8.17758289695 4975),(9.39329290091 5109),(3.28928536368 5242),(9.69919554281 5386),(8.93949468081 5527),(7.11661813885 5664),(7.24927674967 5810),(7.25633827928 5951),(8.05799851023 6091),(8.33500210635 6226),(6.65487432306 6362),(7.96479102018 6493),(5.81744162817 6614),(8.37030944174 6727),(9.63454745165 6847),(9.49645683436 6982),,(8.9855491398 7288),(10.0119395207 7440),(14.1290184313 7587),(6.86612871762 7724),(6.29102828822 7869),(8.47176667122 8004),(8.81430816378 8132),(11.9978252341 8258),(9.71076861331 8380),(8.51697124336 8509),,
Point0,H4,,(1.26282026436 229),(1.50639499995 357),(1.28950918844 502),(3.40708195683 646),,(1.67694548441 967),(3.70867674699 1111),(2.00551356189 1268),,,,,(2.13558677066 2006),,(0.88872361705 2277),,,(0.381671697379 2679),(1.44155938896 2804),(0.430527015963 2946),(0.695063084263 3093),,,,(1.7577474099 3651),,(2.4557104697 3938),(1.30255312137 4084),(4.34901846342 4212),,(1.91495652996 4483),,(0.0398339924459 4758),,,,(-0.00180695955081 5268),,,(2.15532405069 5702),(2.20499895401 5846),(0.495657550359 5990),,,(1.44725939825 6391),(4.67087278108 6521),,,,(1.77311424224 7030),,(2.29858299156 7336),(2.29074866815 7478),(4.86187851302 7621),(3.5527136788e-15 7763),,,,(1.17094509787 8283),,,,
Point0,H5,,(2.21728702842 242),(1.57563956835 364),(2.16499183214 514),(3.69968028175 655),,(2.00955339117 977),(3.78226858824 1117),(3.47059587834 1282),,,,,(2.53546308193 2016),,(1.57505288299 2289),,,(0.73004432583 2690),(1.89359695189 2814),(2.6602764754 2962),(1.51225912512 3106),,,,(2.02232634726 3661),,(2.93431927203 3949),(2.48591672552 4098),(4.41071569442 4218),,(3.50193046507 4498),,(0.44725668281 4770),,,,(3.46566097899 5299),,,(2.16646104927 5705),(2.26613088031 5852),(1.29651603195 6003),,,(1.87931139141 6402),(4.85150371501 6530),,,,(2.10468148611 7040),,(2.44946991221 7344),(3.03928537102 7489),(5.40047811571 7631),(1.44134655481 7779),,,,(1.98574218499 8293),,,,
Point0,H6,(-0.0048102667207 1),(-8.881784197e-16 124),(-1.06581410364e-14 257),(-7.1054273576e-15 384),(-1.06581410364e-14 529),(-1.7763568394e-14 674),(-3.5527136788e-15 831),(-1.95399252334e-14 991),(-7.1054273576e-15 1143),(-1.59872115546e-14 1298),(-8.881784197e-15 1456),(-0.0135257057084 1606),(-7.1054273576e-15 1756),(-0.0227133834166 1886),(-1.33226762955e-14 2034),(-2.6645352591e-15 2169),(-0.0218205007366 2303),(-0.000432095309192 2433),(-0.00497365621561 2562),(-1.50990331349e-14 2701),(-1.24344978758e-14 2834),(-1.86517468137e-14 2978),(-2.04281036531e-14 3119),(-0.00530536457742 3255),(-0.00105726375378 3404),(-2.04281036531e-14 3547),(-0.00180789104558 3687),(-2.6645352591e-14 3825),(-2.30926389122e-14 3971),(-0.0110327716951 4113),(-0.00804013954933 4251),(-4.88498130835e-15 4379),(-1.7763568394e-15 4515),(-0.00507086538063 4651),(-5.3290705182e-15 4780),(-0.0035100353134 4902),(0.0 5039),(-0.000762199120652 5170),(-0.00180695955081 5268),(1.7763568394e-15 5452),(-5.3290705182e-15 5588),(2.6645352591e-15 5731),(-5.3290705182e-15 5876),(-0.00176200401815 6015),(-0.000620326091469 6148),(-0.00273184562881 6288),(-0.000801415328132 6418),(-6.2172489379e-15 6655),(-5.3290705182e-15 6774),(-1.68753899743e-14 6906),(1.33226762955e-14 7056),(2.6645352591e-15 7214),(-5.3290705182e-15 7364),(4.4408920985e-15 7508),(-1.06581410364e-14 7651),(3.5527136788e-15 7763),(8.881784197e-16 7916),(1.06581410364e-14 8048),(1.2581127729 8109),(-0.000730703750699 8176),(1.7763568394e-15 8307),(-1.42108547152e-14 8434),(-3.5527136788e-15 8560),(0.0 8613),
Point1,H1,(16.0509090203 25),(17.1896035125 152),(18.8740773994 283),(18.7319330378 419),(19.7585889725 557),(22.6406379736 704),(23.467285051 858),(25.4854143525 1018),(22.3706712465 1175),(22.4124049103 1328),(22.3884410671 1483),(18.6690190722 1637),(20.1575675732 1783),(22.0573891533 1926),(18.7528173924 2066),(19.3841359171 2199),(22.1905568423 2331),(19.013545469 2467),(18.3273810584 2596),(19.9017921882 2727),(18.8543164243 2868),(18.0945890952 3005),(20.897514158 3145),(20.2262335831 3287),(20.7795017801 3432),(18.371786768 3576),(18.6249213733 3718),(18.7757644353 3861),(17.935154229 4003),(16.9490407987 4138),(17.4225600323 4279),(17.8345934536 4409),(18.2883098288 4541),(14.9214851793 4678),(15.5739002745 4809),(18.5176622159 4936),(19.2445623855 5065),(15.8758896926 5200),(17.6405564776 5342),(18.4377433702 5480),(19.488629727 5621),(18.485462858 5767),(16.65685573 5909),(17.7402232547 6042),(18.1522806151 6183),(16.5740397638 6316),(15.4992281455 6446),(15.4174303006 6567),(17.3830558411 6681),(19.3472110198 6807),(18.5165339966 6937),(22.1208337022 7083),(23.239136012 7241),(20.6943421719 7398),(16.6703388045 7538),(19.0596186255 7677),(19.5715530855 7817),(20.4468335947 7956),(18.1914644167 8082),(21.7472170182 8212),(18.3798057792 8337),(18.7113623836 8460),(19.399670326 8585),
Point1,H2,(3.85572121399 50),(5.06483986528 178),(6.84322119772 310),(6.19388599182 444),(9.12004906454 585),(11.0557092267 731),(9.73409744623 886),(11.061543363 1044),,,(10.2826263273 1509),(4.8501806771 1660),(6.1525389 1807),(8.0469125455 1950),(4.79183307002 2091),(5.16398035694 2223),(8.99856934223 2358),(5.79474435999 2490),(5.13903539834 2620),(4.50536491242 2750),(5.29693409439 2891),(5.0977104071 3032),(7.31671549225 3169),(6.11391424635 3310),(7.65265488392 3456),(5.05072932735 3601),(4.82060479844 3742),(6.54152915346 3885),(5.94041785335 4028),(5.84845732829 4162),(6.18975653659 4302),(6.05140595505 4434),(7.9883228107 4569),(4.45912938605 4701),(5.13081851541 4833),(6.6172909242 4961),(9.09347635047 5089),(4.37866857872 5228),(7.41367976008 5368),(5.99949103313 5503),(6.49842085803 5645),(5.78955257799 5790),(5.18890229316 5933),(6.54571082995 6069),(7.31267980046 6205),(6.26477948705 6343),(4.51727940799 6472),(3.1772024467 6592),(5.24094545027 6708),(7.7220373561 6831),(7.61573591913 6964),(10.4966824601 7113),(10.34426871 7265),(6.96439299367 7422),(5.127836906 7561),(4.49335589198 7705),(3.4997685955 7844),(2.57698207768 7982),(1.7763568394e-14 8108),(6.09672565455 8236),(5.56436218451 8361),(3.13219604089 8489),,
Point1,H3,(8.7824032241 72),(8.19248777081 198),(9.45386293519 328),(9.81674788011 461),(11.5684467959 602),(13.2263970264 746),(11.9778908973 903),(13.5692093772 1062),,,(14.0859507067 1528),(10.1573795583 1680),(9.91792179994 1829),(12.7080305718 1971),(9.77256130787 2110),(10.2502311995 2245),(13.5937606983 2378),(10.9987074959 2509),(10.0711324817 2639),(9.15190188984 2772),(10.1323448446 2908),(9.99564916569 3051),(10.4589643744 3190),(9.18642860852 3329),(10.472779305 3478),(9.57781633735 3623),(9.64964242592 3765),(10.4335389584 3905),(10.3216590242 4047),(11.2274294506 4185),(9.43164166622 4320),(9.57913577982 4454),(10.0961938008 4586),(7.48244729297 4719),(7.62734696738 4853),(8.21967451898 4976),(10.5457778929 5107),(6.30106702338 5242),(11.0496880675 5387),(10.3677347994 5526),(9.82891468122 5664),(8.8195597189 5809),(9.31680281218 5953),(9.32491775188 6091),(10.7812920768 6223),(9.02131505748 6363),(9.04707601098 6492),(7.7972031602 6616),(10.1617950904 6728),(9.85541738 6848),(8.8521374586 6984),(11.3822137253 7126),(13.0754708361 7285),(12.4464176399 7445),(13.9647906042 7585),(9.35535815255 7724),(7.01697743859 7865),(9.02668910212 8003),(9.57215020388 8132),(11.9278732904 8257),(11.1066799844 8380),(9.48882587595 8513),,
Point1,H4,,(2.59867169074 228),(1.81102009926 358),(1.39647367312 500),(4.31687922875 645),(5.20163696614 788),,,,,(3.71253730079 1576),(0.947171155899 1716),,(2.90812808607 2004),,(2.54880271569 2278),,,(1.16502300755 2680),(2.15292713574 2803),(1.56833957495 2948),(0.470501324654 3094),,(2.58787115312 3362),(2.9591707414 3512),(1.88546426616 3653),(1.98441571432 3800),(3.09221356626 3940),(1.58665628365 4084),,,(2.97052106041 4483),,(0.977418464283 4757),,,,(0.915935584922 5283),,(3.51650870936 5559),(2.87104817254 5701),(2.03269781412 5845),(1.24230587305 5990),,(3.06268366039 6263),,,,,,(1.18183852941 7030),(2.42292451848 7174),(3.63810605463 7329),(2.84488132159 7477),(4.05863045062 7620),(0.925289755438 7765),(-0.130760242734 7894),,,,,,,
