Cycle,0.655685483871
Average Width,4.54110434137
Width,,4.56066289988,4.73448597447,5.17338791314,5.17375475451,4.96980159713,4.82620063658,4.69891371075,4.55136210851,4.68699866729,4.52670901847,4.77903671088,4.87427527202,4.39452376693,4.38429476424,4.29024587114,4.48443024207,4.41339532868,4.45408468473,4.38425258238,4.42476492473,4.37207830828,4.38622053741,4.31251508812,4.48447078531,4.42021798275,4.32800673458,4.50994531097,4.44150342886,4.57642182651,4.60927598997,4.23967578139,4.5202391662
Point0,H1,(6.08788148664 111),(6.72258465019 248),(11.9307995752 384),(10.399414903 521),(10.823745446 657),(9.08964112568 788),(8.95608407866 917),(8.91431600096 1051),(8.32637550777 1186),(8.00298400085 1319),(9.73745422384 1460),(9.62879583177 1602),(7.49618919909 1746),(8.10187648856 1890),(8.91869474468 2032),(9.02509262428 2174),(8.60405891616 2307),(9.06205360919 2440),(7.88609376618 2573),(9.52223052099 2697),(8.94927553934 2817),(10.2645343442 2942),(9.97892319796 3061),(10.9738332326 3185),(11.2305546994 3308),(10.7555639361 3437),(12.605905038 3580),(13.632506544 3731),(12.1682544526 3887),(12.0483283776 4034),(12.1590411348 4180),(10.0059702451 4311),
Point0,H2,(2.83628495184 131),(1.67769053499 273),,(4.29680273042 550),(2.73542419675 683),(2.99471144056 814),(2.11350908638 946),(1.82644579208 1077),(2.07371116498 1209),(2.37379373598 1346),(-0.00485089287886 1524),,,(1.86550610424 1915),(1.96030229831 2055),(2.45933511994 2199),(2.17981671002 2332),(2.93250858235 2468),(3.47054087775 2595),(1.90004466888 2724),(1.01860299962 2840),(3.42317664709 2966),(3.18980339601 3089),(3.08960883392 3208),(3.64643378596 3334),(2.66411126633 3463),(4.85688893828 3605),(4.04684268955 3756),(4.50099694255 3908),,(4.11830277007 4205),,
Point0,H3,(5.36600268524 149),(5.1315068585 295),,(4.83192821652 562),(5.20632167649 703),(3.33921206416 826),(2.96661904116 962),(4.01727291203 1094),(3.66590198451 1227),(4.04590428484 1365),(2.04439702236 1548),,,(3.55896164178 1934),(4.0624603437 2073),(3.98794700516 2215),(4.41951803489 2353),(3.99569113666 2483),(5.83240924235 2613),(3.46106626477 2741),(4.748864304 2864),(5.33003046126 2983),(4.35045685438 3105),(5.22013610044 3226),(5.69862183729 3350),(4.70017370499 3479),(7.03057162635 3621),(6.86497150963 3778),(10.0378569956 3931),,(7.69039491517 4228),,
Point0,H4,(1.15463194561e-14 191),,,,(1.40357046532 729),(0.658645959729 864),(0.904185927586 988),(0.203265104273 1139),(0.809133179416 1265),(0.414390704019 1406),(2.02779939521 1552),,,(-0.0586514597404 1960),(-8.881784197e-16 2108),(0.401886315941 2245),(0.650984587331 2383),(0.91572614044 2510),,(-0.00411040690775 2772),,(2.04907027006 3013),,(1.17811960383 3254),(1.61680127843 3379),(0.0874743832485 3515),(2.07914773776 3662),,(2.71957989751 3968),,(1.9999029993 4256),,
Point0,H5,(0.794284794999 206),,,,(1.83077824104 742),(0.740122143672 872),(1.30372149108 1001),(0.259007590297 1147),(1.16323215023 1276),(0.890135938603 1420),(2.55785954772 1568),,,(0.580150041627 1974),(0.640557151723 2126),(0.987621042788 2262),(1.47297318129 2397),(1.56814663838 2524),,(0.526223292125 2786),,(2.13388204128 3019),,(1.36112015898 3262),(1.82830313362 3389),(2.00694299293 3533),(2.32081192299 3672),,(2.96365518589 3977),,(3.31696193362 4270),,
Point0,H6,(-0.1046839945 2),(-0.0139612978077 82),(-0.101293831648 220),(3.99680288865e-15 339),(-0.0135042601881 466),(-0.00172553206541 615),(3.99680288865e-15 762),(2.22044604925e-15 888),(8.881784197e-16 1019),(8.881784197e-16 1158),(1.7763568394e-15 1292),(2.6645352591e-15 1434),(-0.00485089287886 1524),(-0.118667635535 1699),(-0.00230241002797 1818),(-0.0586514597404 1960),(-8.881784197e-16 2108),(7.54951656745e-15 2279),(4.88498130835e-15 2412),(3.5527136788e-15 2542),(-6.2172489379e-15 2668),(-0.00411040690775 2772),(-0.00617305073886 2909),(7.1054273576e-15 3037),(-0.00456888591378 3153),(0.0 3278),(-3.5527136788e-15 3407),(-2.6645352591e-15 3549),(-5.3290705182e-15 3703),(-1.24344978758e-14 3852),(-0.000877499191289 4006),(8.881784197e-16 4154),(-4.4408920985e-15 4287),
Point1,H1,(18.1858063907 108),(16.0454729093 246),(18.5263256117 382),(15.9928735705 519),(18.7427056142 657),(17.5048167211 786),(17.8677334661 915),(18.0297639365 1048),(16.506470488 1185),(17.246458083 1318),(18.2847403892 1459),(16.481528802 1601),(16.6693392759 1745),(16.1687536162 1890),(16.5207857368 2032),(15.8382282793 2174),(16.0952702142 2307),(16.4041949372 2439),(14.8191470577 2571),(17.159054243 2696),(15.7482566629 2818),(17.7805098618 2941),(17.135205517 3061),(17.6504268249 3185),(18.3124794446 3308),(18.0207635109 3437),(20.1261920046 3578),(21.2503124244 3731),(19.2209023912 3887),(18.2906084133 4033),(19.9989930926 4180),(15.689702388 4311),
Point1,H2,(7.59619273726 132),,(4.39792435951 407),,(4.24541945359 682),(4.19067786114 810),(4.96340758187 940),,(3.01897922565 1209),(6.13693639822 1344),(5.68612423274 1485),(4.94551058609 1624),(4.62378245594 1767),(3.59649012923 1913),(4.30680956302 2055),(4.3858900467 2199),(3.51655017141 2331),(5.42554364795 2466),,,,(5.18176526232 2965),,,,(6.2823203012 3462),(7.73196224871 3605),(6.894495123 3756),(6.87525211795 3909),,,
Point1,H3,(12.5332273392 151),,(8.22537569398 423),,(9.34871852692 702),(8.24445566746 830),(8.40498516138 961),,(8.35163079527 1231),(9.59893235994 1364),(6.97220559127 1500),(8.27489700621 1642),(8.1070307514 1785),(6.39068708292 1931),(8.10908439067 2073),(8.12739231531 2217),(8.53430466886 2354),(8.74786326247 2485),,,,(9.66831888162 2983),,,,(9.8870783346 3479),(11.0918384164 3621),(10.7272725847 3777),(14.1613369357 3929),,,
Point1,H4,(1.69072742439 192),(3.91384769857 272),(-9.7699626167e-15 465),(3.8368000674 546),(1.95280577351 735),(1.30031542298 862),(1.84057575429 990),(5.43957421986 1075),(1.49408564281 1262),(1.33141663999 1410),(-0.00304621182078 1532),(0.561087975981 1677),(1.16641271836 1823),(0.610063101667 1965),(0.736721435104 2112),(0.384843578566 2255),(1.46583619421 2384),(2.05772438134 2514),(4.85503426379 2595),(3.20081610733 2723),(2.36629860966 2841),(2.69874127617 3015),(4.88646609933 3087),(4.42015761968 3207),(6.16651447716 3333),(1.84144527112 3518),(2.36874282616 3658),(3.36333541759 3826),(2.62419258795 3965),,,
Point1,H5,(3.08557563069 205),(10.3922192779 295),(0.980967871655 478),(8.53011281245 565),(2.01187281633 741),(1.4764386685 871),(2.90562416842 1003),(9.0178369979 1093),(2.64921550117 1276),(1.61767603197 1420),(0.914399680136 1546),(1.10490462583 1689),(1.29592055956 1830),(1.18588131356 1977),(1.11946904786 2123),(1.06509861697 2268),(2.55423218551 2397),(2.52259979156 2524),(9.67084876576 2615),(7.63000404687 2741),(8.10049173553 2864),(2.72869041808 3019),(8.2414834737 3106),(8.64166613282 3226),(10.0444405888 3350),(3.77988407992 3533),(2.93727111212 3670),(3.38630254399 3830),(3.70968904444 3979),,,
Point1,H6,(9.7699626167e-15 220),(9.7699626167e-15 346),(-9.7699626167e-15 465),(0.0 615),(7.1054273576e-15 760),(4.4408920985e-15 887),(3.5527136788e-15 1020),(-1.7763568394e-15 1157),(-0.000227954368995 1291),(-2.6645352591e-15 1433),(-0.00304621182078 1532),(-7.1054273576e-15 1714),(1.24344978758e-14 1859),(-0.00660711560818 1995),(-0.00278772764115 2139),(0.0 2280),(1.50990331349e-14 2412),(5.3290705182e-15 2541),(-1.24344978758e-14 2668),(2.6645352591e-15 2789),(8.881784197e-16 2910),(1.15463194561e-14 3036),(1.42108547152e-14 3152),(1.15463194561e-14 3277),(1.24344978758e-14 3405),(-3.5527136788e-15 3549),(-8.881784197e-15 3705),(-3.5527136788e-15 3853),(-2.6645352591e-15 4005),(-0.000865891075671 4153),(-1.42108547152e-14 4286),
Point2,H1,(19.219686393 108),(21.8855426243 245),(21.2613038696 382),(19.102275109 519),(21.5689556229 657),(20.4915865942 786),(20.7263605901 915),(20.8447452434 1048),(18.8860464683 1185),(19.9852730724 1318),(21.4104662669 1459),(18.7994479828 1601),(18.590549427 1746),(17.3876969719 1890),(17.3615735065 2032),(16.4673975368 2175),(16.4438475038 2307),(16.8252970404 2440),(14.8556334594 2571),(16.9588508895 2697),(16.0026676663 2818),(18.2061053042 2942),(17.0146550197 3061),(16.857498733 3185),(17.4716448576 3308),(17.5942371378 3437),(18.6609309053 3579),(20.247628769 3731),(18.0034898993 3887),(17.6012872191 4033),(18.537179555 4180),(14.272221914 4311),
Point2,H2,(5.37149700423 132),,(4.30170807135 406),(3.76604758043 546),,(4.65596236227 810),(5.50916753393 940),,(3.48305663455 1209),(7.30795421787 1344),(6.65477980592 1484),(5.35649221747 1623),(5.63586481392 1768),(4.44771277242 1913),(4.95384093264 2056),(4.6071240478 2199),(4.32232579905 2332),(5.76886021007 2467),,,,,,,(6.24959330453 3333),(6.29157925243 3463),(7.63670158985 3605),(6.76051988279 3756),(6.40926003929 3909),,(6.47512286291 4205),,
Point2,H3,(12.6138411803 152),,(10.3708996775 425),(9.49086609912 566),,(9.7530695618 830),(10.14433326 962),,(9.77298756766 1231),(11.3863388034 1364),(8.88496864016 1502),(9.28026461138 1641),(9.23172671607 1786),(7.65641079869 1933),(8.89860375889 2075),(8.07285049458 2217),(8.65033421447 2354),(8.83959848161 2486),,,,,,,(9.79123026837 3351),(9.49700269775 3480),(10.0827598093 3621),(10.0683706387 3777),(13.333941518 3930),,(10.4383288 4225),,
Point2,H4,(1.68861768045 191),(5.96841522121 272),(0.651611610773 464),(-8.881784197e-16 617),(4.42992875613 682),(1.21190354143 863),(2.28767256687 991),(5.72779624025 1075),(1.56981620042 1262),(1.4118710016 1409),(1.00646375955 1533),(1.21172511141 1678),(1.72920854564 1822),(1.05665782909 1966),(0.925312579246 2112),(0.719468804718 2257),(1.85079566401 2383),(2.15024346239 2514),(4.69943592275 2595),(3.52342012543 2723),(2.84172424267 2842),(5.34538213398 2965),(5.07362798919 3088),(3.97172560522 3208),(2.79955614266 3383),(1.58565570089 3518),(2.01374645 3661),(2.41607320039 3825),(2.21456376436 3966),,(4.6009367956 4254),,
Point2,H5,(3.91547206609 205),(13.0094451647 294),(1.72562982077 477),(0.023067786291 622),(10.0394444858 702),(1.53604481067 874),(3.60060259456 1004),(10.5455484223 1093),(3.05423470993 1276),(2.06119463547 1420),(1.5389082903 1543),(1.52645629075 1687),(1.96165708518 1830),(1.4824153868 1977),(1.30025179393 2122),(1.15286354747 2268),(2.98436081903 2396),(2.59374609158 2524),(9.20716244315 2616),(8.15665007 2741),(8.26806656453 2864),(10.04886074 2983),(7.75551945841 3106),(7.9971861451 3227),(2.80331736619 3386),(3.47631472871 3533),(2.54079735452 3674),(2.61231171409 3834),(3.14123692396 3979),,(5.5416903002 4266),,
Point2,H6,(-0.00790819864061 1),(0.0 77),(-3.5527136788e-15 220),(-0.00346711794081 348),(1.15463194561e-14 490),(-8.881784197e-16 617),(-0.00174778703465 760),(-1.86517468137e-14 888),(-1.95399252334e-14 1020),(-0.00434605706852 1157),(1.06581410364e-14 1292),(-8.881784197e-15 1434),(6.2172489379e-15 1570),(7.1054273576e-15 1716),(-0.00490361679781 1860),(-0.00897763967063 1997),(-8.881784197e-16 2139),(-0.000343784536132 2280),(-0.000180869992199 2412),(9.7699626167e-15 2542),(-1.06581410364e-14 2668),(-7.1054273576e-15 2789),(6.2172489379e-15 2910),(1.50990331349e-14 3036),(1.86517468137e-14 3153),(2.93098878501e-14 3277),(2.39808173319e-14 3406),(1.50990331349e-14 3549),(1.59872115546e-14 3704),(1.7763568394e-14 3854),(-0.0038544294165 4005),(1.42108547152e-14 4153),(7.1054273576e-15 4286),
Point3,H1,(15.7377171552 108),(16.4219944585 245),(15.4154847634 382),(13.7040784077 518),(15.728992695 656),(15.0457863194 786),(14.7800024367 915),(14.0182464852 1048),(13.3903924393 1185),(13.7365437248 1318),(15.22596881 1459),(13.1566989192 1601),(12.2142935613 1746),(10.6748667935 1889),(9.38814036974 2033),(9.75166009517 2175),(9.83731420733 2308),(10.0495176893 2440),(8.75562628549 2573),(9.90383712541 2698),(8.77972395183 2818),(9.93738052261 2942),(8.63624790194 3062),(9.06381720724 3185),(9.08172175776 3309),(8.76809744394 3438),(10.0949388657 3580),(10.0723124233 3731),(10.0946327828 3888),(9.62565274577 4033),(8.12041495698 4181),(7.57063490934 4312),
Point3,H2,(4.3608908533 132),,(3.36643005939 407),,(3.49627439271 681),(4.14810212894 810),(4.2539250103 941),(4.37343820295 1075),(2.84730286122 1208),(4.82355576542 1345),,,(4.22555929285 1768),(2.83916386625 1914),(2.51962849384 2055),(2.8932117095 2199),(3.27436971149 2333),(3.18267220184 2468),,,,,,,,(3.07047923525 3464),,,(4.53150956663 3908),(2.85270965835 4058),(3.72202450153 4204),,
Point3,H3,(10.1462164083 151),,(6.1886204619 423),,(7.33451264976 702),(6.97768931809 830),(6.71245543059 961),(7.03575159735 1092),(6.54307285523 1230),(7.92788529846 1364),,,(5.79481144236 1786),(4.19476532983 1933),(4.16107810028 2073),(4.70439829228 2217),(5.29307015977 2354),(5.01716884536 2487),,,,,,,,(4.33958080814 3480),,,(8.40996891659 3930),(4.30420930636 4079),(5.7385264209 4229),,
Point3,H4,(1.00879292661 190),(4.95919700789 272),(1.95399252334e-14 464),(2.89617438688 546),(1.10565407145 736),(1.1412313605 864),(1.92553444604 989),(0.163288304151 1138),(1.56426179985 1261),(1.36049800449 1408),,,(1.69582649389 1822),(0.339074125591 1965),(0.0454094100566 2109),(0.556189588765 2254),(1.40174375938 2382),(1.12478621184 2513),(3.20502366606 2596),(2.20885555743 2723),(1.47719918034 2841),(2.92703000396 2965),(2.56399819848 3089),(2.85024080806 3209),(3.37313941041 3333),(0.913538639284 3513),,(3.67181034839 3756),(2.2853012274 3965),(0.234398393861 4126),(1.54200016038 4255),,
Point3,H5,(2.71091684632 205),(10.3580427358 293),(0.576620101384 476),(6.31736459311 564),(1.45458766012 746),(1.18236908751 870),(2.52130243256 1001),(0.509598131656 1149),(2.42029650287 1275),(1.72848674132 1419),,,(1.70556151289 1825),(0.64191310938 1977),(0.271423903545 2121),(1.01898958648 2267),(1.96767892099 2395),(1.67522044591 2525),(5.43145572935 2614),(4.48632538321 2740),(4.86381351027 2864),(5.03022465461 2983),(4.21645674433 3106),(4.16620099863 3227),(4.87231310634 3348),(1.71287140782 3529),,(5.26260393679 3777),(2.61624806787 3976),(0.841349356166 4141),(3.44279714312 4270),,
Point3,H6,(7.1054273576e-15 76),(-7.1054273576e-15 219),(-0.00213091774945 346),(1.95399252334e-14 464),(-2.6645352591e-15 614),(-4.4408920985e-15 760),(-3.5527136788e-15 887),(-5.3290705182e-15 1019),(-0.00189358543874 1159),(-8.881784197e-16 1291),(-9.7699626167e-15 1433),(-1.24344978758e-14 1556),(-6.2172489379e-15 1698),(-6.66133814775e-15 1861),(-0.000376864900901 2002),(-1.33226762955e-15 2134),(-2.6645352591e-15 2281),(5.3290705182e-15 2412),(-4.4408920985e-16 2543),(1.7763568394e-15 2667),(3.10862446895e-15 2793),(4.4408920985e-15 2909),(3.99680288865e-15 3035),(-4.88498130835e-15 3157),(8.881784197e-16 3276),(1.33226762955e-15 3403),(-0.00481592674736 3547),(7.9936057773e-15 3706),(-0.00355501490648 3850),(4.4408920985e-15 4006),(5.3290705182e-15 4154),(-0.00455926951886 4287),
