Cycle,0.754071428571
Average Width,7.95215595438
Width,,7.58701489807,9.29486744679,9.0901749959,8.24778606385,8.10455700484,7.39492067476,8.24775413268,7.65951490584,8.09435290592,7.99857506812,8.39747664825,7.59378325146,7.60708981507,8.3306762462,7.71519828049,7.04945893258,7.7094607703,7.64358114858,8.0182274043,8.15695276048,7.78842731114,7.86330919764,7.31896729866,7.88371476619,7.99186677728,8.64425308175,8.84052581961,7.62588642158,7.85851263916
Point0,H1,(9.89510104223 30),(12.4575588785 186),(11.9061529837 332),(11.7587633509 483),(12.2865935077 641),(9.64038146041 805),(10.4751586228 971),(8.77090057109 1121),(11.3714551519 1277),(10.7386365896 1438),(10.9516288703 1604),(10.4169149213 1760),(10.6068838294 1916),(12.1589387646 2077),(10.4211972048 2243),(8.82342550836 2398),(9.95025062796 2556),(10.2768852652 2713),(10.28180992 2863),(10.1350307491 3022),(10.0352435632 3182),(9.44773446688 3339),(9.4553118384 3490),(10.0762482459 3647),(9.45065482097 3805),(10.2858364652 3957),(11.6974604744 4105),(9.14835035034 4255),(9.94035292259 4411),
Point0,H2,(2.67537274815 58),,(4.84215395985 357),,,(3.42715448226 834),,(3.14464707248 1152),,(5.7863184743 1465),(5.79059176179 1632),(4.90308131595 1790),,,(4.41456041744 2270),,(4.17307292842 2583),(5.78135611875 2740),(4.51090204041 2891),,,,(3.82878262572 3526),,,,,,,
Point0,H3,(4.69772598339 80),,(5.72359802799 378),,,(5.60081364261 856),,(4.59250657665 1172),,(6.41758676877 1483),(6.77704292325 1648),(6.59551557936 1811),,,(6.07360852549 2288),,(5.73325132487 2604),(7.17845986107 2759),(5.96570021492 2912),,,,(4.77056698583 3543),,,,,,,
Point0,H4,(-0.289535476466 116),(5.27363831632 212),(1.09117654079 425),(5.91142764093 514),(8.13757352288 670),(3.6063206641 879),,(0.924933374261 1211),(5.8330118646 1304),(1.77989928649 1535),(2.16637089883 1706),(2.14017384639 1846),(4.63094578988 1945),(6.48449161004 2125),(0.628774608369 2341),(3.32692738338 2425),(1.63590567408 2646),(0.63269687687 2813),(0.69755134736 2960),(4.40184525138 3049),(4.6539574906 3210),(4.66555871546 3365),(0.735885475662 3578),(4.90627607246 3677),(3.89465580112 3832),(4.73115415072 3984),(5.19502878677 4137),(4.24214053994 4283),,
Point0,H5,(0.23885241878 132),(7.12569163969 237),(2.01535002825 439),(6.35153464817 526),(8.47612311478 685),(4.39339838274 900),,(0.960119376721 1217),(6.21971658685 1323),(2.14565541058 1552),(2.19793351436 1712),(2.43902859601 1857),(5.01463711565 1963),(6.78961569413 2144),(0.677088312073 2351),(4.60119722286 2449),(1.79507032755 2657),(0.826992667262 2822),(0.770564380404 2973),(5.99751431533 3073),(5.71988501336 3231),(5.25662157603 3388),(0.945528983695 3592),(6.61965043027 3701),(5.88739406506 3855),(7.29485127231 4008),(5.74736112439 4153),(5.06669866052 4300),,
Point0,H6,(-0.0921471306974 2),(-0.289535476466 116),(1.15463194561e-14 303),(3.5527136788e-15 454),(2.6645352591e-15 611),(-6.2172489379e-15 774),(-0.000108796122013 940),(-8.43769498715e-15 1094),(-0.0028977372878 1244),(-8.881784197e-15 1411),(0.0 1573),(-0.011598251268 1733),(-0.0103816972817 1884),(8.881784197e-16 2022),(-8.881784197e-16 2215),(-0.00120683140334 2370),(-0.0048979451635 2510),(-6.2172489379e-15 2678),(-6.2172489379e-15 2835),(-5.3290705182e-15 2993),(-7.9936057773e-15 3152),(1.7763568394e-15 3303),(5.3290705182e-15 3460),(6.2172489379e-15 3615),(-0.00269775270433 3776),(1.11022302463e-14 3925),(-0.00400638740668 4065),(-0.00063417978087 4225),(-5.3290705182e-15 4373),
Point1,H1,(13.5289614707 26),(15.2032724043 183),(14.1471275142 329),(14.5628940951 480),(16.2649429899 637),(13.8701912865 801),(13.9988700185 968),(12.1256954626 1116),(14.9049265215 1273),(14.16697412 1435),(13.8877301591 1600),(13.9381406876 1756),(13.5222412105 1912),(16.431970353 2074),(14.4816203715 2238),(13.3477083418 2394),(13.9144410196 2552),(13.6487313121 2709),(13.7139046203 2859),(13.608469908 3018),(13.6736138631 3178),(12.4685495434 3335),(13.20937479 3484),(13.6424039241 3643),(12.8089086454 3802),(12.760104355 3952),(14.4717261009 4102),(13.3300646229 4251),(13.7592965693 4406),
Point1,H2,(4.58815164501 55),,(5.72618468163 354),(6.70902904101 511),(9.00912114437 672),,(4.79936003433 991),,(6.03701985846 1300),(6.2302059566 1464),(6.14721838865 1630),(6.30879888825 1785),,(8.34844047675 2099),(6.01940966282 2268),,(5.13500561088 2577),,,(5.27035539392 3045),(5.66271256783 3204),(5.46235212503 3361),(4.55076563513 3526),,(4.56785548751 3829),,(5.56214563423 4130),,,
Point1,H3,(5.96490873947 75),,(6.86288694715 374),(7.48655482553 526),(9.48033543693 687),,(7.54430751784 1013),,(7.65467260378 1320),(6.79628398153 1486),(7.6827009594 1649),(7.81460386959 1804),,(8.65182177406 2119),(8.24514429696 2287),,(6.47743192922 2598),,,(7.30012028167 3066),(6.62131998772 3226),(6.50275030803 3385),(5.60083424008 3541),,(6.94923616786 3853),,(6.84892885649 4150),,,
Point1,H4,(0.909934511049 115),(5.30108947704 208),(0.295908949578 423),(1.34539819374 583),(2.67512120708 745),(5.71651484859 832),(1.60221266799 1064),(3.77523057143 1147),(1.04587800756 1382),(1.11713315176 1543),(2.47406575136 1700),(2.25345568785 1847),(5.33283853277 1937),(2.85605140021 2189),(1.8365243172 2328),(5.40512091618 2421),(1.23040120393 2644),(6.24664047622 2734),(5.2123187813 2888),(0.446700634894 3135),(1.6537856496 3273),(1.80568744702 3432),(0.405582976306 3595),(5.42022486908 3672),(1.91548421163 3897),(4.77555784978 3982),(2.68241600275 4186),(6.51604453519 4278),,
