Cycle,0.676826923077
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(4.46006133243 24),(6.84511041195 173),(6.78169507639 302),(6.96529468544 435),(7.3787546283 571),(8.42635952391 713),(6.9989602383 854),(7.38071430981 986),(7.72006000931 1130),(7.92127149842 1273),(8.23824944529 1419),(7.02202838438 1563),(7.66298963589 1707),(8.08366623562 1848),(9.65140586987 1995),(6.67911594907 2137),(8.23288146463 2284),(8.29301735504 2428),(7.50173311334 2572),(8.56386460294 2709),(6.75977065979 2856),(7.35013698525 2996),(5.6980504513 3136),(8.0444175976 3275),(9.25867807743 3405),(7.34015256422 3541),(8.26162881238 3707),
Point0,H2,,(4.63155342307 199),,,,,,(2.30397168982 1037),,,,,,,,,,,(3.29740438845 2614),,,(4.99756842031 3028),,,,,,
Point0,H3,,(4.97694671492 212),,,,,,(2.30536951313 1039),,,,,,,,,,,(3.44086088827 2626),,,(4.99765758679 3029),,,,,,
Point0,H4,,,(2.84814450746 375),(3.78480606377 473),,,,(0.657200211794 1064),(1.41071956257 1209),,,(3.32638809387 1601),,(0.00715489422652 1940),,,(4.35057029173 2328),,(2.36476156707 2646),(3.99511567428 2764),,(3.18251521842 3063),(1.13689314927 3177),,,(-0.0211474892182 3641),,
Point0,H5,,,(2.85510998269 378),(4.20622462458 486),,,,(0.994547396492 1076),(1.48077487124 1217),,,(3.96329827425 1618),,(0.21884313751 1955),,,(4.54342711685 2337),,(2.6558008093 2657),(4.05890864088 2771),,(3.55241152585 3081),(1.6662169386 3191),,,(5.92525404631 3670),,
Point0,H6,(-0.0129139811675 1),(-0.00200696609386 131),(0.0 274),(8.881784197e-16 404),(8.881784197e-16 536),(1.33226762955e-15 672),(8.881784197e-16 819),(3.99680288865e-15 940),(-0.00562147403097 1092),(2.22044604925e-15 1237),(-5.3290705182e-15 1387),(-0.00317512885198 1528),(-8.881784197e-16 1667),(1.7763568394e-15 1810),(-0.00540159694236 1964),(-5.77315972805e-15 2113),(1.33226762955e-15 2259),(1.7763568394e-15 2400),(3.10862446895e-15 2530),(8.43769498715e-15 2677),(7.1054273576e-15 2820),(5.3290705182e-15 2959),(9.32587340685e-15 3108),(-0.000438480239072 3221),(1.24344978758e-14 3376),(8.881784197e-15 3505),(-0.0211474892182 3641),
Point1,H1,(10.4781312588 27),(12.2218228856 168),(11.6337976154 300),(11.7724704406 434),(13.1086040212 570),(13.5425052303 710),(12.1507486969 853),(12.9055397508 986),(12.7876327001 1127),(13.0342658565 1272),(13.4589162381 1419),(13.014503431 1562),(13.5335883223 1704),(13.9953121814 1848),(14.7024786722 1995),(12.8533636718 2139),(14.7619003973 2284),(14.4613274524 2428),(13.0928791753 2571),(14.5042123215 2712),(13.8936754412 2856),(15.5084730964 2998),(11.7935924872 3136),(13.3494788153 3275),(15.1141679874 3404),(13.2676501761 3543),(11.9435373529 3673),
Point1,H2,(4.00728430235 71),(6.62262031671 201),(4.44128543656 346),,,,,(4.22187643086 1032),,,,,,,(5.91501439774 2042),,(6.52692265686 2329),,,,,,(2.82634717789 3180),,(5.60573100866 3449),,,
Point1,H3,(4.60541241765 83),(6.78272328359 210),(4.49557398159 352),,,,,(4.33342783588 1040),,,,,,,(6.01326508631 2049),,(6.67265464398 2337),,,,,,(2.98586866678 3188),,(6.02781294489 3459),,,
Point1,H4,(1.83542309395 105),(2.18941826095 249),(2.44834996285 378),(4.8004697737 472),(2.22998265204 649),,,(1.70182189877 1064),(1.80348606004 1208),,,,,(0.885419713596 1944),(1.46738289698 2090),(1.01629494732 2231),(2.61637391071 2377),(5.19655198143 2475),,(2.60167977686 2794),,,(1.42108547152e-14 3224),,(2.22132598649 3485),,,
Point1,H5,(2.10597351849 114),(2.2265946803 254),(2.45225017621 381),(5.45987602364 485),(2.30492976005 655),,,(1.92422338847 1073),(1.87294005943 1215),,,,,(1.16461968192 1954),(1.54169735275 2096),(1.84884392068 2243),(2.64032723972 2382),(5.26232791301 2481),,(2.68390736309 2800),,,(0.339240221158 3238),,(2.22780444001 3487),,,
Point1,H6,(-0.0066274933743 1),(-1.95399252334e-14 132),(-1.50990331349e-14 273),(-9.7699626167e-15 403),(-3.5527136788e-15 535),(2.6645352591e-15 675),(-0.00376993749298 820),(2.6645352591e-15 957),(-2.6645352591e-15 1091),(-3.5527136788e-15 1236),(2.6645352591e-15 1387),(-0.00101925369535 1526),(2.6645352591e-15 1666),(7.9936057773e-15 1810),(1.7763568394e-15 1967),(8.881784197e-15 2112),(-7.9936057773e-15 2257),(6.2172489379e-15 2401),(-0.00504550414161 2533),(9.7699626167e-15 2676),(1.7763568394e-15 2821),(7.9936057773e-15 2962),(7.9936057773e-15 3106),(1.42108547152e-14 3224),(8.881784197e-15 3376),(4.4408920985e-15 3507),(0.0 3644),
