Cycle,0.748596491228
Average Width,5.09190753675
Width,,0.0,5.80315367445,4.75011962261,5.83987971678,6.53686525498,5.19823265517,5.38264885368,5.42237277865,5.10527709509,4.52304329544,6.0261711139,4.07471787937,5.25294261708,4.92447080489,3.83365011928,4.91721476988,4.28682376624,4.9668481082,5.39156250996,5.73934183677
Point0,H1,(5.42522048473 35),(5.82623497923 201),(6.7009530224 354),(8.06515839307 509),(8.02978127987 669),(8.17766595881 835),(8.17359262025 997),(8.20171236348 1147),(8.65630266409 1302),(7.31028673333 1452),(7.64239572815 1611),(7.30121883505 1772),(5.30617373963 1928),(6.93517929121 2085),(6.95072131055 2246),(6.41554918252 2410),(7.1676637875 2570),(6.80020546619 2725),(6.87088138823 2884),(8.01678197562 3045),
Point0,H2,(2.45947290302 66),,(2.42162195709 382),(3.26225634199 543),(3.78225338305 702),(3.96036226983 861),(2.78957180972 1023),,(4.15598022392 1328),(2.91686827364 1493),(3.68440232282 1656),,(2.15273621472 1951),(3.53601828948 2114),(2.78964459898 2272),(3.10909531245 2431),,(3.36787158732 2753),,
Point0,H3,(3.37179763907 90),,(3.44465570844 408),(4.44608290416 567),(5.1431219603 726),(5.4629044827 882),(5.30359012871 1052),,(4.8328512318 1348),(3.86343588443 1511),(3.85496651492 1667),,(3.48972676752 1978),(3.94956421824 2132),(3.752249111 2301),(3.62458029891 2460),,(4.02384320319 2773),,
Point0,H4,(-1.33226762955e-15 133),,(0.365361069651 454),(0.564708402264 615),(0.564810291329 775),(0.225845575893 937),(0.138485162868 1096),(3.28156963004 1180),(0.225756560817 1400),(5.77315972805e-15 1559),(1.06262249544 1715),(3.3194562082 1814),(0.501534800555 2021),(1.35032446764 2180),(0.0654310794403 2361),(1.7763568394e-15 2523),,(0.207516233674 2822),,
Point0,H5,(0.526821135627 153),,(0.650418673808 467),(0.980988533383 628),(1.07744761437 788),(0.713981762528 950),(0.990380956542 1109),(5.20069122281 1206),(0.715350853365 1413),(1.1665145859 1574),(1.38987450296 1729),(3.35960667806 1821),(1.55298094693 2037),(1.64515349564 2193),(0.229333557814 2372),(0.186215802915 2534),,(0.721947244683 2837),,
Point0,H6,(-1.33226762955e-15 133),(2.6645352591e-15 323),(1.7763568394e-15 480),(1.33226762955e-15 642),(4.4408920985e-15 803),(3.10862446895e-15 964),(7.54951656745e-15 1122),(7.1054273576e-15 1262),(-0.00469393417156 1426),(5.77315972805e-15 1559),(3.5527136788e-15 1746),(-0.00160683346042 1893),(-0.00250948085591 2053),(0.0 2214),(1.33226762955e-15 2382),(1.7763568394e-15 2523),(1.33226762955e-15 2693),(3.99680288865e-15 2851),(-0.000897088023024 3009),
Point1,H1,(5.17176862962 34),(6.55994820963 201),(7.42478361848 354),(8.44503926143 509),(8.06925721735 670),(9.08787091108 835),(9.32797370758 998),(9.14723340479 1148),(9.59471861761 1302),(8.78867163569 1452),(8.72490079193 1611),(8.81579231836 1771),(6.82103895819 1928),(7.61899196024 2085),(8.12376504176 2246),(7.76060465258 2409),(8.60693902368 2569),(7.96441599932 2724),(7.85913542084 2884),(8.74518587003 3045),
Point1,H2,(2.77379706474 67),,(2.53618743125 383),(3.60290964855 542),(4.12110266654 705),(4.44154383278 862),(2.91344991025 1023),,(4.88352665903 1328),(3.79983992 1494),,(4.22497968457 1811),(2.73482825957 1951),(4.27635680944 2113),,(3.69528805993 2432),,(4.19430045438 2750),,
Point1,H3,(3.82989441233 88),,(4.05084600086 411),(4.74871212797 566),(5.60427270294 728),(5.92525685848 885),(5.7971786146 1051),,(5.52043151205 1348),(4.61349735935 1511),,(4.32472511471 1821),(4.29373819347 1975),(4.70173212912 2131),,(4.3439342268 2464),,(4.86682149934 2766),,
Point1,H4,(8.881784197e-16 134),,(0.348990258198 452),(0.514256968286 613),(0.74140193662 774),(-4.4408920985e-16 936),(8.881784197e-16 1097),(3.73900668304 1177),(0.726763317977 1401),(0.143388309334 1559),,(1.11488256072 1865),(0.346919511774 2021),(1.16448776554 2182),(3.82486288015 2272),(1.7763568394e-15 2521),,(0.37940236036 2823),,
