Cycle,0.788900793651
Average Width,0.0
Width,,6.50984932252,6.29713635601,7.64233756389,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06445912551,0.0,0.0
Point0,H1,(9.33603382647 109),(10.3008105085 282),(11.3495076248 444),(9.32706214979 611),(9.55301313905 724),(9.30703318294 781),(10.7235219486 940),(10.9606199711 1101),(13.7486160231 1277),(12.2574892008 1451),(12.2560632229 1621),(9.77897301074 1790),(8.63662004826 1947),(9.44569988043 2123),(11.156301822 2288),(10.3963810964 2460),(12.8916728267 2634),(9.98707867592 2810),(8.74208474179 2976),(11.6275142838 3141),(11.8755432564 3310),(12.8068245196 3483),
Point0,H2,(-0.00201119475236 139),(7.1054273576e-15 309),,,(8.98688512894 738),,,,,,(9.7699626167e-15 1655),,,,(6.2172489379e-15 2327),,,(-6.2172489379e-15 2840),,,,
Point0,H3,(0.196819824246 150),(1.77997786716 323),,,(9.30083191485 749),,,,,,(3.60087771751 1699),,,,(6.20752603353 2377),,,(0.827536315449 2853),,,,
Point0,H4,(0.19320668461 152),(0.79702643376 336),,,,(7.1054273576e-15 813),(5.3290705182e-15 976),(-0.00847894735968 1145),,(0.0 1481),(3.37794275438 1709),,(6.2172489379e-15 1978),,(6.19751477095 2381),(3.5527136788e-15 2511),,(0.680597508994 2862),,(-7.9936057773e-15 3174),,
Point0,H5,(3.03709996239 180),(9.75611432058 422),,,,(8.72992403638 912),(3.16256528048 1012),(12.4590418375 1247),,(5.6278824155 1549),(5.71614641894 1736),,(6.56508119425 2063),,(10.1446871214 2433),(11.8205770419 2609),,(1.76445092345 2879),,(1.1704444931 3188),,
Point0,H6,(-0.00201119475236 139),(7.1054273576e-15 309),(1.59872115546e-14 484),(3.5527136788e-15 647),(7.1054273576e-15 813),(5.3290705182e-15 976),(-0.00847894735968 1145),(-1.7763568394e-15 1319),(0.0 1481),(9.7699626167e-15 1655),(-0.00850025421142 1829),(6.2172489379e-15 1978),(5.3290705182e-15 2151),(6.2172489379e-15 2327),(3.5527136788e-15 2511),(6.2172489379e-15 2688),(-6.2172489379e-15 2840),(-7.1054273576e-15 3013),(-7.9936057773e-15 3174),(-0.00141009676887 3353),(3.5527136788e-15 3511),
Point1,H1,(9.08202159198 111),(9.61040364658 283),(10.6618620263 446),(8.93682876297 612),(8.86506512747 728),(9.03271489971 943),(8.74922040437 1104),(10.8310156117 1279),(8.88641889588 1454),(9.01450550448 1625),(6.99129478924 1791),(6.50938706854 1947),(7.36770001223 2126),(9.44197460836 2288),(8.44272674339 2438),(10.8063702943 2636),(7.16110542624 2809),(6.28769354229 2980),(9.69251725537 3145),(9.1840654599 3312),(10.9054452147 3486),
Point1,H2,,(0.338632825037 312),,,,(-2.6645352591e-15 982),(-6.2172489379e-15 1150),,,,,,,,,(-0.00380606711682 2693),(-0.00225667675312 2843),,,(-4.4408920985e-15 3355),,
Point1,H3,,(1.08781842688 324),,,,(2.73772683825 1015),(8.07328259406 1225),,,,,,,,,(5.87612678995 2739),(0.2906006348 2855),,,(3.97201894989 3400),,
Point1,H4,,(-6.2172489379e-15 338),,,,(2.69455470073 1022),(8.06441789738 1229),,(2.6645352591e-15 1485),(-5.3290705182e-15 1663),,(-0.000870796764924 1981),,(1.50990331349e-14 2332),,(5.24412490916 2753),(0.218757833225 2864),(3.10862446895e-15 3017),,(3.9355581335 3407),,
Point1,H5,,(8.83543668385 421),,,,(4.64548382628 1049),(9.23463528416 1251),,(3.35981615823 1540),(2.93305448353 1701),,(4.97350657475 2064),,(5.44645338013 2374),,(6.42865340591 2774),(0.97736889685 2884),(9.36434318544 3128),,(8.49748692303 3463),,
Point1,H6,(-0.0024915152008 141),(-6.2172489379e-15 338),(-0.00305487819049 485),(-7.1054273576e-15 650),(-7.1054273576e-15 818),(-2.6645352591e-15 982),(-6.2172489379e-15 1150),(-0.00709195060492 1324),(2.6645352591e-15 1485),(-5.3290705182e-15 1663),(-7.1054273576e-15 1831),(-0.000870796764924 1981),(0.0 2156),(1.50990331349e-14 2332),(8.881784197e-15 2513),(-0.00380606711682 2693),(-0.00225667675312 2843),(-0.00545110815916 2908),(3.10862446895e-15 3017),(-0.014072903145 3178),(-4.4408920985e-15 3355),(-3.5527136788e-15 3513),
