Cycle,0.979192810458
Average Width,3.16064519917
Width,,2.93974458601,3.06983336119,2.96197459119,3.15551924926,3.30230445939,2.61319185495,3.1411129156,3.17645620002,3.12267258492,3.00608897825,3.14503497889,3.60346629974,3.13027893985,3.24388581985,2.7704829985,3.14702278591,3.59130206484,3.70722352919,2.9549458827,3.37619969787,3.79035690698,3.38595761291,3.37779722635,3.27153255644,3.11320433119,3.56387074252,3.25070274289,3.85915812843,3.82762078414,3.38740584346,3.5885201093,3.18826350403,3.20024830389,2.98688397573,3.43289665359,3.2174367714,3.18931527065,2.7948015325,2.75580816629,3.26519321642,3.16164697552,3.90368949809,2.72526785121,3.23818763906,2.99553430025,3.05615279496,3.00884110494,3.09494922027,2.90382340232,3.16914978602,2.97670678754,3.24315787385,2.93725994999,3.53162334667,3.29834050636,4.91091645332,3.31363509076,2.74388471189,3.39826157936,2.99580432123,3.24715278755
Point0,H1,(11.0719455137 64),(14.5812067282 269),(13.50152133 479),(13.0968341473 687),(13.7449427116 879),(9.34487084126 1082),(14.585106189 1310),(13.4275398725 1520),(13.2924414128 1722),(13.6012976254 1918),(16.133318329 2127),(16.9648776403 2322),(16.9342158574 2522),(18.6539387233 2717),(16.9184590307 2926),(17.6628325142 3119),(17.2555104142 3342),(15.2458146943 3552),(19.2608623364 3754),(20.3463528091 3967),(16.1770819376 4173),(17.8447879816 4383),(17.9429823876 4590),(16.8791683646 4817),(16.3784874575 5022),(15.3280453857 5245),(14.8188898062 5468),(17.7568039333 5679),(15.8984246479 5887),(16.9380350769 6113),(16.2796550146 6302),(17.1064754249 6495),(18.1350467989 6685),(14.911059316 6878),(17.7389587454 7084),(18.5268582673 7294),(15.620491652 7503),(16.5314460447 7727),(15.7146767208 7954),(14.8768253488 8161),(13.1978398772 8365),(13.1628055948 8570),(13.8004310925 8770),(13.8143024668 8976),(15.1232615128 9186),(13.952315485 9388),(13.5217423592 9612),(14.7602605959 9824),(13.2018419102 10010),(16.214409924 10222),(16.1433233724 10432),(15.4308455677 10642),(13.6513147148 10852),(19.0271166199 11049),(19.8353693679 11263),(16.6955853483 11467),(16.5310046897 11675),(16.8483546956 11871),(17.8418340355 12073),(18.2013882846 12284),(16.9747418533 12493),
Point0,H2,,(1.44351715001 370),,(5.11686487254 744),,,(2.00055977598 1409),,,,,(-0.00191525101912 2408),(3.36346354457 2592),(1.43626623643 2837),,(4.62628797647 3195),,(12.4223235673 3573),,,,,(0.838279841162 4715),,,,(1.87456419055 5575),,,,(5.33391951262 6393),,,,,,,(5.77181216024 7801),,(2.77006759286 8262),,,(2.5590755712 8866),,(2.78510974406 9276),,,,(12.2389763119 10023),,(8.52269471051 10498),,(4.50237672927 10933),(14.1221163924 11079),,,,,,,,
Point0,H3,,(1.45212065711 375),,(5.27260449766 754),,,(2.10612255436 1425),,,,,(3.60749112717 2438),(4.14943538897 2614),(1.51610172691 2851),,(4.8162995525 3209),,(13.1949853589 3585),,,,,(0.93807827195 4724),,,,(2.00759213515 5585),,,,(5.34527775978 6397),,,,,,,(5.95991306642 7810),,(2.90643008326 8271),,,(3.28953608381 8883),,(3.22400901023 9290),,,,(12.7417452022 10034),,(8.82942759308 10510),,(4.51110002519 10936),(14.290300369 11087),,,,,,,,
Point0,H4,(2.70930936023 167),(0.43705140331 404),,(0.964456884472 793),(0.39448242879 1031),,(1.69256695657 1442),,,,,(2.74968974305 2453),,(-8.881784197e-16 2875),(-0.000999432374154 3055),(1.24344978758e-14 3268),(1.59879298534 3461),(4.80590426023 3655),,(2.22303456248 4101),(2.48104261742 4277),(-2.297700577e-05 4513),(0.548135704343 4739),(1.24481458963 4937),,(0.99563972957 5389),(1.37989814894 5602),,(0.174599247276 6036),(3.53244427421 6196),,(1.18724457495 6606),(1.89554075058 6808),,(5.00980222776 7192),(0.237084707436 7445),(1.09092855477 7648),(0.955934343424 7873),,(1.09646664685 8296),(2.09688037792 8483),(0.557310295723 8690),(2.47507038843 8899),(1.7293576094 9108),(-0.00352209961647 9326),(-0.00166747970748 9519),(3.45215896728 9697),,,(4.161533048 10328),,,(0.748110923829 10970),(2.04403371167 11191),(2.24742735006 11394),(5.3509363049 11558),,(2.24275616335 11989),(2.3870442136 12211),(3.60883155539 12394),,
Point0,H5,(2.75087437996 174),(0.560788595247 415),,(1.65153718837 810),(0.446589157888 1038),,(1.93139760121 1453),,,,,(2.91850050236 2461),,(16.5517985925 2912),(0.386399523722 3071),(1.01709120035 3282),(2.18376157444 3479),(5.02931560359 3666),,(2.27687292283 4107),(2.70755597622 4289),(1.25415711754 4530),(0.829872655156 4751),(1.59271799907 4951),,(1.26811892415 5404),(1.65956259845 5614),,(0.568308998543 6048),(3.98572700534 6210),,(1.43322843446 6618),(1.99226412968 6821),,(5.02513235216 7197),(0.529771349227 7456),(2.04185113528 7664),(1.15655452786 7885),,(1.12090324843 8302),(2.37907990039 8499),(1.17849934293 8704),(2.85845756364 8910),(1.88072678243 9117),(0.653995035014 9345),(0.992374109632 9547),(4.48852140307 9720),,,(4.27258277994 10336),,,(2.54143490423 10990),(2.10427278273 11197),(2.41300458631 11403),(5.60025318536 11568),,(3.20423132123 12009),(2.40852251302 12216),(3.73481184163 12405),,
Point0,H6,(-0.00147270708912 225),(6.2172489379e-15 432),(-5.3290705182e-15 636),(-1.24344978758e-14 841),(1.7763568394e-15 1051),(6.2172489379e-15 1259),(-1.7763568394e-15 1471),(-1.24344978758e-14 1673),(-1.15463194561e-14 1881),(-0.00954616026173 2079),(-6.2172489379e-15 2280),(-0.00191525101912 2408),(-1.15463194561e-14 2480),(6.2172489379e-15 2672),(-8.881784197e-16 2875),(-0.0419634945571 3081),(1.24344978758e-14 3268),(1.06581410364e-14 3501),(0.0 3709),(-1.06581410364e-14 3916),(-1.7763568394e-14 4128),(-8.881784197e-15 4337),(-2.297700577e-05 4513),(1.06581410364e-14 4765),(1.06581410364e-14 4982),(-0.00304091957369 5164),(-8.881784197e-15 5421),(8.881784197e-16 5636),(-4.4408920985e-15 5844),(-9.7699626167e-15 6060),(1.7763568394e-15 6259),(-9.7699626167e-15 6445),(-8.881784197e-15 6641),(-4.4408920985e-15 6845),(-5.3290705182e-15 7040),(7.1054273576e-15 7255),(-9.7699626167e-15 7467),(-2.13162820728e-14 7680),(1.7763568394e-15 7901),(-3.5527136788e-15 8110),(2.6645352591e-15 8322),(1.7763568394e-14 8525),(3.5527136788e-15 8720),(-2.30926389122e-14 8929),(-1.95399252334e-14 9136),(-0.00352209961647 9326),(-0.00166747970748 9519),(-2.04281036531e-14 9771),(-5.3290705182e-15 9978),(-5.3290705182e-15 10173),(-3.5527136788e-15 10378),(-1.7763568394e-15 10588),(-7.1054273576e-15 10799),(-0.00372635930664 11007),(3.5527136788e-15 11215),(-0.00474787978176 11424),(5.3290705182e-15 11627),(1.7763568394e-15 11825),(3.5527136788e-15 12031),(-7.9936057773e-15 12239),(5.3290705182e-15 12447),
Point1,H1,(22.1988090061 64),(26.8346159598 272),(26.6562099948 479),(23.3476130162 685),(24.0529877527 882),(19.6046515173 1087),(23.8216199116 1307),(22.5918454261 1518),(23.4293226337 1713),(22.3533213888 1920),(24.3692183078 2128),(22.8475652812 2320),(21.1612934625 2527),(23.8360929449 2718),(23.0904628624 2915),(23.6943222623 3122),(22.4259611704 3344),(20.2441166812 3551),(22.8580184531 3757),(25.20467485 3966),(20.528266273 4176),(22.4796579482 4383),(23.5156387306 4588),(21.2187125756 4814),(23.5427441825 5024),(22.6062883704 5246),(21.0303188593 5469),(21.9120829017 5679),(19.5272368579 5886),(20.9512249314 6114),(20.1333238133 6302),(22.4806587886 6494),(23.9747578907 6687),(21.6851256661 6881),(21.414334405 7086),(23.1421814654 7297),(21.75794962 7504),(25.2162826077 7729),(21.8803976368 7940),(22.4082771408 8158),(20.1253015978 8366),(18.744493897 8562),(20.6314856482 8769),(21.6642502153 8974),(23.4684882138 9184),(20.4739472749 9391),(20.9105510959 9608),(21.3061357668 9822),(22.1592344487 10015),(24.7993629748 10224),(24.1268669383 10432),(22.137350168 10641),(16.7725620643 10849),(22.300614366 11050),(24.1450744656 11264),(20.40636092 11467),(20.6960573669 11677),(23.1314767477 11871),(22.3851738794 12076),(22.7349218537 12283),(20.2994265023 12491),
Point1,H2,(1.94699678457 169),,(3.00239091754 589),,(1.44802851851 1009),,(3.13736071936 1421),(4.91949476616 1600),,,,(-1.95399252334e-14 2418),,,(0.829391098531 3020),(4.39135773904 3199),,(13.3809176092 3577),,,,,,,(11.7064987147 5067),,,,,,,(13.9152810943 6525),,(4.6631864183 6974),,,,(3.33849407812 7846),(3.81100982484 8055),,,,(3.55415825657 8861),,,(2.68422345593 9488),(3.77670848334 9703),,,,(9.48273175182 10501),,,(15.5649905507 11083),,,,,,,,
Point1,H3,(1.95210254399 173),,(3.06931627792 595),,(1.4492262984 1011),,(3.15591935774 1426),(4.92534810484 1603),,,,(3.73827329128 2445),,,(0.834104785787 3023),(5.3337526168 3222),,(14.0738963736 3587),,,,,,,(11.9783637814 5075),,,,,,,(13.9515867146 6529),,(4.82610076828 6985),,,,(4.10829924804 7861),(4.02309456788 8065),,,,(3.61933466559 8870),,,(2.75302030116 9495),(4.22531761544 9720),,,,(9.58963734509 10514),,,(15.6380781076 11089),,,,,,,,
Point1,H4,(0.792879823098 197),(1.20050306003 404),(1.13332636248 616),(0.480131837575 797),(0.655837970363 1035),,(2.36956495923 1445),,(1.53419623007 1843),(1.70276035693 2052),(0.319445300796 2270),(3.65227688661 2451),(3.22821469592 2599),(0.53169939121 2855),(0.0802100332054 3045),(0.542162261581 3270),(7.1054273576e-15 3501),,,(2.37967285175 4100),(1.87144045658 4276),(1.7763568394e-14 4494),(0.764204143541 4723),,(-9.7699626167e-15 5164),(1.08114351428 5395),(1.14798394369 5591),(0.673040774922 5810),,(2.81789642359 6198),(2.45050113504 6419),(2.24378231185 6614),(1.95525314746 6793),(1.88872553341 7016),(4.00487138418 7185),(0.260102582775 7446),(1.80298045165 7654),(1.75400089799 7884),(1.68336301337 8088),(1.21158808004 8285),(7.9936057773e-15 8501),(0.350321761621 8692),(3.29405119521 8898),(2.27074768183 9105),(2.63613949741 9287),(0.0485025570665 9535),(0.6189451755 9755),,(6.71881002995 10103),,(2.41611945881 10564),,(0.18243976818 10979),(1.34788319301 11190),(2.79453963368 11393),,,(2.34969692681 12005),(3.33207092841 12183),(3.24115001327 12420),,
Point1,H5,(1.10398044146 209),(1.6335057919 416),(1.31084084262 624),(1.17398080136 815),(0.659402853029 1038),,(2.57896527676 1454),,(1.94569019869 1857),(1.95319950015 2063),(0.321721160058 2272),(4.02506137094 2463),(4.17854497654 2623),(0.787016218297 2865),(0.430914319406 3066),(1.25610755325 3282),(19.867531542 3538),,,(2.91102116767 4112),(2.79472737582 4293),(1.16580978882 4529),(1.19001714255 4749),,(1.08394558164 5185),(1.92284560605 5409),(1.56839478909 5607),(1.21466196571 5826),,(3.38113841145 6215),(2.92326692873 6431),(2.3610729287 6622),(2.47605904617 6806),(1.96361372836 7023),(4.55543952199 7207),(0.345115954755 7456),(2.06038315825 7664),(1.76106482608 7886),(1.8395490274 8096),(1.77079211446 8302),(1.05466021857 8516),(1.62265738182 8707),(3.42743743604 8907),(2.70194733005 9118),(2.74490852783 9295),(2.39163999742 9554),(0.69332303878 9761),,(6.85779052014 10113),,(2.66837646503 10574),,(1.52213629303 10995),(2.17214552123 11202),(3.64625189552 11407),,,(2.56063189677 12014),(3.59217443439 12194),(3.26915689319 12425),,
