Cycle,0.927946428571
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0556478485,0.0,0.0
Point0,H1,(8.65733736776 104),(7.83040120919 166),(10.233497748 375),(10.9671007422 583),(11.642132916 751),(10.8570590847 988),(8.17465742212 1204),(10.6631091672 1410),(7.94763071286 1618),(7.85675016685 1810),(12.472122829 2003),(11.7844572551 2164),(7.63805038092 2403),(9.54654978026 2625),(8.86233530187 2764),
Point0,H2,(5.94034346965 122),(-1.7763568394e-15 205),,,,,(-3.5527136788e-15 1236),,(-8.881784197e-16 1645),,(-8.881784197e-16 2043),,(4.13002965161e-14 2438),(4.13494195134 2651),,
Point0,H3,(7.14867002659 138),(3.49745591223 251),,,,,(3.35789118824 1267),,(4.35046906848 1701),,(5.07346738496 2080),,(2.2492322561 2465),(5.45291153986 2667),,
Point0,H4,,(2.39450884687 276),,,,,(2.8240750745 1286),,(3.35212280756 1717),(1.7763568394e-15 1843),(4.91287898687 2093),,(0.502330750166 2504),,,
Point0,H5,,(5.50868663371 304),,,,,(4.82891179668 1321),,(5.56873993204 1736),(4.27005438459 1871),(6.50897586471 2123),,(1.45164426266 2528),,,
Point0,H6,(-1.7763568394e-15 205),(2.39450884687 276),(-1.1990408666e-14 415),(-0.00557261337851 629),(-1.42108547152e-14 825),(-1.06581410364e-14 1035),(-3.5527136788e-15 1236),(-1.7763568394e-15 1454),(-8.881784197e-16 1645),(1.7763568394e-15 1843),(1.33226762955e-15 1924),(-8.881784197e-16 2043),(1.24344978758e-14 2236),(4.13002965161e-14 2438),(-0.00797850888376 2549),(-0.00450318415694 2721),(2.04281036531e-14 2858),
Point1,H1,(7.22368176618 53),(6.93348534236 115),(12.7959096027 324),(12.4381196536 531),(11.9082149564 698),(11.0226406585 937),(9.49609757117 1154),(10.838729712 1359),(9.8151099848 1567),(8.33310514866 1759),(15.0396643799 1948),(12.0896647506 2120),(11.4505022102 2352),(10.548876812 2568),(11.2098613388 2716),
Point1,H2,,,(1.8819397283 360),,(10.0636933307 724),,,(0.0100647442214 1393),(-0.00718925900589 1594),,,,(2.54972453115 2385),,,
Point1,H3,,,(3.39936570258 378),,(10.3788506636 735),,,(2.62921462232 1414),(4.06483254614 1619),,,,(5.17398329298 2409),,,
Point1,H4,(5.19401935004 72),,(7.9936057773e-15 408),(1.36087632051 577),(-1.33226762955e-14 772),,(8.881784197e-16 1180),(4.4408920985e-15 1439),(2.39302403106 1643),(6.2172489379e-15 1790),(2.6645352591e-15 1991),,(4.4408920985e-15 2452),(5.13088581334 2598),,
