Cycle,0.872340686275
Average Width,0.0
Width,,5.20635963652,0.0,0.0,14.2267637197,0.0,0.0,0.0,0.0,0.0,35.6666234358,5.2317252508,0.0,0.0,0.0,0.0,0.0,3.62059801003
Point0,H1,(12.2809054177 27),(9.32725043656 238),(6.9823929727 396),(5.17117129613 460),(9.86378776187 620),(8.15864374496 819),(9.49907750079 1049),(10.3306734567 1242),(9.73979768367 1443),(10.2585277946 1616),(10.7087404732 1854),(11.0297521334 2077),(7.98638576219 2288),(10.1868934026 2497),(11.8085295815 2697),(6.74138762455 2859),(6.51091351665 2950),(9.18230366309 3069),
Point0,H2,,,,,,,(5.3290705182e-15 1077),,(8.881784197e-16 1474),,,,(-0.0053636547752 2317),,(-0.00800145481306 2723),,,,
Point0,H3,,,,,,,(4.99591400404 1101),,(3.73072861117 1496),,,,(4.12591031906 2341),,(6.94750281308 2742),,,,
Point0,H4,,(-1.33226762955e-15 277),,(-0.00462757510789 490),,,(3.19315531364 1128),,(2.21447363274 1520),,,,(-7.9936057773e-15 2385),(1.44546074262 2526),(-0.0157525972519 2783),,,,
Point0,H5,,(0.904548974731 294),,(9.39128873082 577),,,(10.1054223372 1220),,(5.5802298054 1554),,,,(10.010106577 2460),(5.17978943254 2554),(2.41201188718 2805),,,,
Point0,H6,(1.33226762955e-15 69),(-4.4408920985e-16 210),(-1.33226762955e-15 277),(-0.00176029346327 428),(-0.00462757510789 490),(-3.5527136788e-15 650),(1.7763568394e-15 869),(5.3290705182e-15 1077),(8.881784197e-16 1277),(8.881784197e-16 1474),(-2.6645352591e-15 1677),(-0.00249400700301 1892),(-0.000136328013476 1964),(-0.0126890831963 2101),(-0.0423277988023 2164),(-0.0053636547752 2317),(-7.9936057773e-15 2385),(-0.0189133530105 2582),(-0.00800145481306 2723),(-0.0157525972519 2783),(-8.881784197e-16 2923),(-0.00182090438908 2986),(1.7763568394e-15 3125),
Point1,H1,(15.7045065806 27),(11.6986962009 238),(9.02242120077 397),(11.9069295462 621),(10.1512921508 818),(11.7311889996 1049),(12.1725288651 1217),(12.1137090925 1443),(12.0815119036 1617),(13.1210414018 1854),(11.4521255169 2077),(11.1872540585 2287),(11.7475060369 2497),(12.5592326692 2698),(11.0908328215 2857),(7.29674233697 2949),(10.6342079026 3069),
Point1,H2,,(-8.881784197e-15 274),(3.5527136788e-15 429),,,,,(-8.881784197e-15 1475),(9.77456634755 1634),,,,,(-3.5527136788e-15 2723),,,,
Point1,H3,,(1.61544515363 296),(6.40474739927 458),,,,,(4.80509661138 1497),(10.6666906846 1646),,,,,(8.40155389307 2743),,,,
Point1,H4,,(1.2070830847 311),(-0.0118879582476 490),,,(-0.000456356720148 1076),,(3.5159819611 1516),(-8.881784197e-16 1678),,,,(1.32296666346 2527),(3.67880727078 2778),,,,
Point1,H5,,(4.74521494266 344),(11.2104675378 581),,,(6.00705008632 1101),,(7.21537337186 1554),(4.97094841097 1703),,,,(4.89228983625 2553),(7.41078564048 2806),,,,
Point1,H6,(-0.00102136011412 67),(-1.24344978758e-14 210),(-8.881784197e-15 274),(3.5527136788e-15 429),(-0.0118879582476 490),(-2.6645352591e-15 650),(3.5527136788e-15 869),(-0.000456356720148 1076),(-8.881784197e-15 1277),(-8.881784197e-15 1475),(-8.881784197e-16 1678),(-0.00204380121446 1892),(-0.0212675438378 1970),(7.1054273576e-15 2101),(8.881784197e-15 2320),(-8.881784197e-16 2383),(-2.6645352591e-15 2581),(-3.5527136788e-15 2723),(-0.0158899233374 2926),(0.0 2987),(2.6645352591e-15 3126),
Point2,H1,(14.4557993576 27),(14.6796939791 185),(12.0577683653 397),(17.508802492 585),(14.523610546 841),(16.8456301274 1045),(17.767754756 1241),(19.7923157356 1440),(17.8998374726 1611),(15.7820310734 1852),(8.80935014762 1935),(17.3655589929 2073),(18.3714416719 2283),(15.932348151 2452),(18.3323504035 2695),(16.9809693515 2851),(8.23298142199 3064),
Point2,H2,,,(-0.00628950139105 429),,(2.48689957516e-14 871),(2.13162820728e-14 1075),,,(15.6956945996 1632),,,,,(11.7402131427 2476),,(-0.0353917054967 2927),,
Point2,H3,,,(8.2644553615 457),,(6.57574587468 908),(4.52837177398 1096),,,(15.9297612479 1641),,,,,(15.2636992433 2494),,(5.39751551218 2947),,
Point2,H4,(-2.6645352591e-15 63),(-0.0256586385029 211),(5.38414112495 478),,(6.45760010285 917),(4.51073940273 1099),,(-5.3290705182e-15 1474),(2.13162820728e-14 1680),,(6.60713262571 1958),,(-1.7763568394e-15 2320),(-1.06581410364e-14 2529),(-5.3290705182e-15 2722),(-0.0940278470182 2994),,
Point2,H5,(8.01461085169 128),(7.94065680231 236),(9.02148958475 510),,(9.71391354105 972),(16.7856268858 1206),,(12.7749972738 1557),(4.25859971076 1703),,(9.204736959 2023),,(5.22597277283 2347),(4.73597845558 2555),(8.2178412523 2744),(4.4451777588 3027),,
Point2,H6,(-2.6645352591e-15 63),(-0.0256586385029 211),(-0.01249967858 285),(-0.00628950139105 429),(-0.000609662342805 653),(2.48689957516e-14 871),(2.13162820728e-14 1075),(3.5527136788e-15 1281),(-5.3290705182e-15 1474),(2.13162820728e-14 1680),(-0.00467108801877 1890),(-5.3290705182e-15 2101),(-1.7763568394e-15 2320),(1.94862892753 2382),(-1.06581410364e-14 2529),(-5.3290705182e-15 2722),(-0.0353917054967 2927),(-0.0940278470182 2994),
