Cycle,0.800890522876
Average Width,4.95728127243
Width,,5.52183303081,4.74900678746,4.18424749387,4.87457665714,5.2629857261,4.90493614713,4.714587903,5.39303258103,4.92199704016,5.10883572951,4.76819547698,4.58275820764,4.59874242089,4.72992125915,5.44634121351,5.97817738068,4.65615042119,5.42496319708
Point0,H1,(9.8485333522 37),(10.8157460073 201),(11.1979889652 379),(11.284895817 573),(10.7456619494 730),(11.3363816709 907),(11.7051162416 1101),(11.4917288981 1257),(9.40269194809 1434),(9.62695105421 1599),(9.84025381972 1767),(9.64422773809 1929),(12.8799593169 2104),(12.2904970844 2280),(10.1115035468 2443),(10.0753394585 2616),(11.0912863714 2788),(10.4585009031 2971),
Point0,H2,,,,(5.28990020374 618),(9.96374430228 743),,,(4.73217726825 1307),,,(3.28650380699 1817),(3.88164161307 1980),(5.17583597012 2155),(11.1596823539 2295),,(4.3895428932 2665),,
Point0,H3,,,,(5.29074384132 620),(10.1527884072 751),,,(4.77640554936 1313),,,(3.39841504827 1826),(3.90352653229 1985),(5.28821815083 2162),(11.2636049731 2302),,(4.58827440982 2674),,
Point0,H4,(0.0165634795827 132),,,(4.4408920985e-15 676),(2.37259777939 827),,,(1.64762782002 1364),(0.296869984172 1540),(1.52274665536 1694),(0.8899738343 1858),(1.92763068127 2028),(4.20405212281 2179),(3.36198548797 2364),(1.67637792278 2546),(3.46023771225 2693),,
Point0,H5,(0.117979008624 145),,,(0.659834594316 690),(2.41533566289 835),,,(1.99513498729 1375),(1.27149214997 1554),(1.72463313958 1706),(1.21003683131 1873),(1.9989533361 2037),(5.07242367505 2194),(3.37615858784 2369),(1.77830658311 2555),(3.93719092311 2705),,
Point0,H6,(-0.00926771739003 158),(0.0 351),(-0.00264125556709 529),(4.4408920985e-15 676),(4.4408920985e-15 878),(2.6645352591e-15 1056),(3.5527136788e-15 1219),(6.2172489379e-15 1393),(1.06581410364e-14 1567),(1.11022302463e-14 1729),(1.1990408666e-14 1896),(-0.000464243374542 2065),(-4.4408920985e-15 2243),(-0.00815309629719 2411),(8.881784197e-16 2577),(8.881784197e-16 2751),(0.0 2917),
Point1,H1,(14.0019291216 37),(14.0944211009 201),(14.7389812968 380),(15.2381991238 571),(14.5099964383 730),(15.3394663195 907),(15.4154668884 1100),(14.8559922351 1256),(13.2300356285 1433),(12.9870602967 1599),(14.0934158519 1766),(12.984170534 1929),(16.6907938665 2103),(17.1031945529 2280),(14.5268305203 2442),(14.5432118356 2616),(16.0167670414 2789),(14.2150679295 2973),
Point1,H2,,(13.3839666782 214),(8.05297901945 426),,(13.5060748642 743),(14.7093856656 917),,,,(12.9447058082 1605),(5.38292233124 1815),,,,(13.5864212825 2455),,,
Point1,H3,,(13.4883093321 220),(8.18544791992 434),,(13.545869219 748),(15.0098599083 926),,,,(12.9479352339 1608),(5.57452524643 1824),,,,(13.6901171919 2461),,,
Point1,H4,(0.603363876737 131),(3.87290265705 273),(2.76057680384 499),(0.279729161763 676),(2.30694586527 848),(3.21114475768 1027),,,(1.23195238403 1539),(2.434966925 1697),(1.73069588514 1858),,,,(2.36198957312 2545),,,
Point1,H5,(0.636007150881 138),(5.19024878335 293),(2.87051250243 507),(0.908898916309 688),(2.46846488647 858),(3.65836626623 1037),,,(2.00610748033 1551),(2.62935649343 1707),(1.78038508903 1866),,,,(2.44263899196 2553),,,
Point1,H6,(-0.00240954336828 160),(-5.26579522617e-05 349),(-4.4408920985e-15 527),(0.0 700),(8.881784197e-16 877),(-0.00231907936038 1056),(-0.000598790935952 1221),(-4.4408920985e-15 1391),(-0.000863515995667 1567),(6.2172489379e-15 1729),(7.9936057773e-15 1895),(-0.00711889202171 2065),(-3.5527136788e-15 2243),(-1.7763568394e-15 2410),(-4.4408920985e-15 2577),(-7.1054273576e-15 2751),(-1.33226762955e-14 2917),
Point2,H1,(12.4033010059 42),(12.6371172736 223),(13.6507980626 382),(14.7179780096 569),(13.2255943443 730),(13.9209172463 908),(14.6789042637 1101),(13.7393723269 1256),(12.5838799692 1432),(11.5891737184 1610),(11.344497493 1771),(12.0259160311 1929),(14.6536476378 2103),(16.591345815 2287),(15.9711009519 2466),(13.4142868277 2633),(15.412081041 2792),(13.9154755629 2974),
Point2,H2,,(3.89933519287 276),,,,,,,,(6.03318832309 1656),,,,,(9.69468847341 2490),(7.45750957644 2663),,
Point2,H3,,(5.16924635492 301),,,,,,,,(6.05567500077 1662),,,,,(9.85582399525 2497),(8.20120689256 2675),,
Point2,H4,,(2.63082811927 326),(8.90474690148 424),(0.500564420877 675),,,,(6.71853156823 1307),,(2.88164774701 1698),(4.47052712604 1830),,(7.3618107873 2152),(8.881784197e-15 2411),,(3.18356281535 2723),,
Point2,H5,,(2.71708702474 332),(9.0001339868 432),(1.09434275538 687),,,,(6.8161092888 1314),,(2.92735293772 1704),(4.51992886035 1837),,(7.73318614934 2162),(15.3017581736 2439),,(3.43018161447 2732),,
Point2,H6,(-0.00534238678951 152),(6.2172489379e-15 351),(8.881784197e-16 527),(5.3290705182e-15 700),(7.1054273576e-15 877),(-8.881784197e-16 1055),(-0.00232650564101 1222),(-1.7763568394e-15 1391),(-2.6645352591e-15 1567),(0.0 1730),(8.881784197e-16 1891),(-0.00499058982165 2056),(-0.0134689985572 2240),(8.881784197e-15 2411),(7.9936057773e-15 2576),(4.4408920985e-15 2754),(0.0 2916),
Point3,H1,(9.386948478 43),(5.79341182627 225),(2.98186915259 306),(8.07419232247 391),(8.6378036431 572),(7.66781852395 753),(6.89674848383 912),(8.90339744872 1102),(7.48834280429 1257),(7.04900025256 1459),(6.08293488584 1603),(5.20206176026 1786),(5.67151164113 1931),(8.71709805926 2104),(11.8453144335 2303),(11.4375373921 2469),(8.12192974785 2640),(9.75221413552 2795),(10.8015791616 2977),
Point3,H2,,,,,,,(4.20241596238 973),,(6.66973532661 1270),(4.84763286522 1480),(3.94735336556 1653),,,(7.61275024639 2120),,,(5.26228997879 2664),,
