Cycle,0.844166666667
Average Width,4.58069030852
Width,,4.70617516666,4.3560161496,4.73537566859,4.17190787434,4.46535875466,3.53097118326,5.19139330682,4.13165681256,4.3819699114,4.25877333923,4.35177971519,4.50407397556,4.77340041121,4.68183980962,4.54357269082,4.35999575884,6.16635160318,4.40997308818,5.38230302626,4.7862023918,4.89100856222
Point0,H1,(9.59649266034 28),(7.71674016006 201),(8.38344698651 387),(7.65649611176 554),(7.47620801761 729),(5.51156812936 890),(11.2964869547 1081),(7.09264006666 1262),(9.32638775952 1433),(8.204442667 1609),(8.95691767634 1784),(8.15735798619 1963),(7.90919256366 2136),(9.76517777961 2333),(8.30284147561 2510),(8.34121651774 2681),(9.66938973724 2881),(8.13914448413 3051),(9.97770118145 3227),(9.66736771125 3416),(9.7177942432 3579),
Point0,H2,,,(2.48069461521 438),(3.19073382797 600),,,,(3.7082590232 1297),,,(2.72895734951 1839),,,,,,,,,,,
Point0,H3,,,(2.48466483754 441),(3.56693525822 611),,,,(3.71815230973 1302),,,(2.73284022096 1842),,,,,,,,,,,
Point0,H4,,,(1.4007831074 483),(1.69482573926 633),,,(2.17831484605 1185),(1.35737817523 1340),,,(0.974775346099 1883),,,(5.94741068293 2370),(0.295059304096 2602),,(3.89774813975 2949),,,(1.30728985355 3526),,
Point0,H5,,,(1.66289996042 494),(2.48960341564 666),,,(2.34293743589 1196),(2.34036374247 1367),,,(1.24422492258 1897),,,(6.25587615249 2384),(0.749182022179 2620),,(3.92991535521 2957),,,(1.48997095065 3535),,
Point0,H6,(-6.66133814775e-15 177),(1.7763568394e-15 336),(5.77315972805e-15 514),(-0.00153036478552 697),(-1.15135523585 865),(7.1054273576e-15 936),(-0.0357179089058 1040),(-8.881784197e-16 1219),(-3.5527136788e-15 1394),(-4.4408920985e-16 1570),(-3.5527136788e-15 1746),(3.99680288865e-15 1933),(-9.7699626167e-15 2104),(-5.77315972805e-15 2288),(-0.00195721715559 2467),(-0.00279362556138 2644),(2.22044604925e-15 2831),(2.6645352591e-15 3010),(1.33226762955e-15 3191),(8.881784197e-16 3380),(3.10862446895e-15 3551),(-0.405041995804 3677),
Point1,H1,(14.1131624223 29),(12.0990371324 204),(13.3162534066 385),(12.36990051 556),(11.2025089217 730),(11.9688018511 894),(14.4480620139 1082),(11.4375989548 1263),(13.5435934093 1434),(12.9628815381 1610),(13.7468039105 1786),(11.9590917059 1965),(11.5330979846 2138),(14.1325805522 2336),(12.5357819779 2508),(12.4843764831 2683),(13.5584380089 2881),(12.9683193902 3051),(14.6118724508 3228),(14.5727341269 3418),(13.8285679194 3580),
Point1,H2,(6.17563052379 77),,,,,,,,,,,(11.3519860938 1977),(4.34876965501 2184),,(4.13212069846 2557),,,,(13.5308987311 3241),(6.34270663455 3468),,
Point1,H3,(6.31793393858 84),,,,,,,,,,,(11.4931710381 1984),(5.26775050559 2198),,(4.20615112329 2563),,,,(13.6429593781 3248),(6.50936967295 3476),,
Point1,H4,(1.35443235535 151),,(2.19033971403 483),,,,(2.2768418635 1186),(2.82946343192 1347),,(4.39407296863 1662),(5.03890698556 1838),(6.11122272485 2012),(1.60819737148 2261),(7.95582735048 2375),(0.548380830669 2606),(0.983768561636 2807),,,,(2.04945022778 3527),,
Point1,H5,(1.72697768593 161),,(2.69728963693 496),,,,(2.58610296626 1198),(3.37458927558 1365),,(4.40020131632 1665),(5.07462542091 1842),(6.2495421424 2019),(2.02042095006 2273),(8.20893897366 2386),(1.09454229531 2623),(1.22150354407 2817),,,,(2.35645300058 3536),,
Point1,H6,(-0.0110375997067 1),(-1.68753899743e-14 176),(-1.95399252334e-14 338),(-0.0062521041742 516),(1.7763568394e-15 698),(-0.0012208974116 864),(-7.9936057773e-15 1041),(-0.00298696746363 1219),(-1.15463194561e-14 1394),(-1.33226762955e-14 1571),(-4.4408920985e-15 1748),(3.5527136788e-15 1934),(-3.5527136788e-15 2104),(-2.6645352591e-15 2289),(-0.00413423239974 2470),(-3.5527136788e-15 2645),(-0.00231258744778 2831),(4.4408920985e-15 3011),(7.1054273576e-15 3193),(5.3290705182e-15 3381),(7.1054273576e-15 3553),
Point2,H1,(13.406599652 31),(11.2541015817 205),(13.2827588671 386),(11.268642888 555),(10.344213975 729),(10.4950350988 895),(13.2771993293 1083),(10.3114778583 1263),(12.0504475569 1433),(11.8764157841 1610),(12.6106553299 1786),(10.9638514877 1964),(11.00627989 2138),(13.2374950846 2331),(11.7923208772 2508),(11.2880475958 2683),(14.4015264393 2882),(12.3008710068 3051),(15.0051613958 3228),(14.2171433149 3418),(13.2072211618 3581),
Point2,H2,,,,,,,,,,(4.84239427134 1660),,(10.3569725253 1975),,,,(3.06439000238 2775),,,,,
Point2,H3,,,,,,,,,,(4.89371704824 1666),,(10.7732956086 1985),,,,(3.1999257781 2784),,,,,
Point2,H4,(1.83609892228 149),,(2.68136231465 457),,,(6.65364975162 954),(2.83053197201 1185),(2.53482231565 1359),(10.4419211806 1452),(0.865771342963 1716),(10.9234809753 1804),(6.64765070541 2013),,(9.20296324794 2374),(0.586800976497 2608),(0.820161120418 2808),,(0.122721821179 3176),(13.8521368098 3243),,
Point2,H5,(2.3260314976 160),,(3.1655214011 470),,,(6.70778259206 963),(3.11828442961 1197),(2.5514819553 1364),(10.4865362384 1457),(1.14556973187 1728),(10.9250235778 1806),(6.67207690386 2018),,(9.4685086636 2384),(0.731769834 2620),(1.10186643779 2817),,(0.321963006039 3186),(13.86523293 3246),,
Point2,H6,(-7.9936057773e-15 177),(-5.3290705182e-15 336),(-1.7763568394e-15 514),(-1.7763568394e-15 699),(-1.24344978758e-14 863),(-1.15463194561e-14 1040),(-5.3290705182e-15 1219),(-5.3290705182e-15 1394),(-7.1054273576e-15 1571),(3.5527136788e-15 1749),(-8.881784197e-15 1934),(-1.15463194561e-14 2104),(4.4408920985e-15 2289),(-0.0747765637581 2471),(0.0 2647),(4.4408920985e-15 2831),(2.6645352591e-15 3010),(-1.7763568394e-15 3195),(0.0 3382),(3.5527136788e-15 3552),
