Cycle,0.854928571429
Average Width,5.86616148864
Width,,6.34038271519,5.88792123397,5.66442548668,6.01032529182,5.62827721528,5.8239414866,5.60713856304,5.48812704638,5.5519825379,5.76430166605,5.48097764283,5.71558609529,5.74182496287,5.84075945069,5.68574099695,5.67511115763,5.80278219978,5.83144425709,5.73368646652,6.03094073988,5.73162671764,6.28265761537,6.2088903046,6.00608618225,5.93427518453,5.89047004975,5.69678644881,5.78784089096,5.94280764605,5.97827457585,5.80194710033,5.95680787089,5.87635574813,5.62799501112,5.4570608075,6.1244759619,5.74465208373,6.26609410031,6.26155772831,6.08223535414,6.13739559486,6.21191141163,6.53857519349
Point0,H1,(15.224468374 72),(8.81215671367 272),(8.07935278376 425),(11.6296771228 590),(6.40625717477 765),(8.42462476829 936),(8.64663820234 1133),(6.58263021266 1283),(9.33353650874 1463),(11.0886934937 1636),(7.93552439665 1812),(8.9354784343 1987),(8.47055597303 2163),(8.62464689114 2342),(8.35740078034 2541),(7.79872132307 2690),(9.93016358848 2883),(8.73320609125 3062),(8.84738791089 3259),(10.6184406969 3432),(6.8383731882 3603),(10.0948376745 3788),(6.65914364666 3972),(7.79858828732 4141),(9.56379859384 4323),(10.6153787655 4498),(10.0614591086 4684),(12.1747757886 4851),(12.2690685081 5030),(11.5515502217 5209),(12.5340697534 5383),(14.3008990716 5557),(10.9352349465 5740),(11.2181739999 5892),(9.47325805538 6068),(10.5740637502 6226),(9.75142582097 6392),(13.4848336342 6564),(10.5166597482 6740),(8.92565159357 6929),(9.4476665082 7075),(12.2390075547 7250),(11.6422135458 7438),
Point0,H2,(15.0647640583 82),,,,,,,,,,(7.15736824838 1827),(7.1874362444 2004),(7.26948458156 2177),(8.09436703508 2353),,,,,,,,,(6.01584273624 3985),,,,(2.00788375438 4745),,,(2.8711924277 5285),,,,,,,(9.37955695952 6403),(11.8819271804 6579),(9.20978297526 6754),,(8.07277290651 7091),,
Point0,H3,(15.0871439109 88),,,,,,,,,,(7.44717891636 1840),(7.67872493265 2017),(7.93477835504 2189),(8.53374941883 2366),,,,,,,,,(6.47398012396 3998),,,,(3.21692661006 4767),,,(2.88770141111 5289),,,,,,,(9.48966645498 6411),(12.4703695899 6591),(9.9999310379 6768),,(8.72981565673 7106),,
Point0,H4,,,,(2.17410491897 700),,,(3.03524335177 1203),,(6.3026609483 1506),,(2.21204575996 1905),(7.22144565282 2034),(0.310900975254 2292),(2.16867688746 2459),,,,,,,,,(0.554885631974 4086),(0.504347330745 4240),(4.92437355744 4373),,(1.973056514 4787),(7.59794817897 4897),,(1.14756561094 5311),(6.72028053835 5432),(8.881784197e-15 5688),,,(1.52127866153 6154),,(2.73744272945 6482),(7.4856563102 6637),,,(5.18278063352 7145),,
Point0,H5,,,,(3.07111823876 714),,,(3.27300243324 1214),,(6.43964357624 1516),,(2.9259033462 1922),(7.226841246 2037),(0.317644512536 2296),(2.17917803573 2464),,,,,,,,,(0.557227676492 4088),(1.18475676249 4262),(4.93462110071 4376),,(1.97471811857 4790),(7.82725478733 4907),,(1.67424835344 5323),(6.72690369074 5436),(10.7170244729 5718),,,(2.65988528284 6172),,(3.43454334902 6495),(7.58137370136 6646),,,(5.23043360144 7152),,
Point0,H6,(-0.45272686302 212),(7.9936057773e-15 380),(-0.00601765352895 555),(5.3290705182e-15 734),(-0.0117772002912 889),(-6.2172489379e-15 1071),(7.1054273576e-15 1258),(1.42108547152e-14 1420),(-0.00696744670693 1596),(-0.00521278333696 1776),(9.7699626167e-15 1956),(1.55431223448e-14 2133),(2.04281036531e-14 2309),(1.7763568394e-14 2490),(1.24344978758e-14 2665),(1.42108547152e-14 2844),(3.10862446895e-14 3032),(2.30926389122e-14 3205),(3.5527136788e-15 3386),(1.50990331349e-14 3572),(7.1054273576e-15 3748),(4.4408920985e-15 3944),(1.73194791842e-14 4104),(9.32587340685e-15 4285),(-0.00486194322482 4456),(-5.3290705182e-15 4631),(7.1054273576e-15 4811),(1.68753899743e-14 4987),(7.1054273576e-15 5161),(0.0 5339),(0.0 5516),(8.881784197e-15 5688),(5.3290705182e-15 5854),(-0.00182817669127 6027),(5.3290705182e-15 6195),(7.9936057773e-15 6361),(-0.00655210170122 6534),(-0.00483998468093 6712),(1.46549439251e-14 6875),(1.33226762955e-14 7042),(-0.014771804162 7212),(-0.00880614069852 7385),
Point1,H1,(26.8058329895 44),(19.2153484521 227),(22.273458718 398),(23.9418334277 568),(19.7694137019 750),(21.7085635644 908),(20.7802332542 1083),(19.968249228 1259),(22.0722145595 1437),(25.2163364176 1610),(21.0374580031 1787),(21.0904381035 1963),(21.9543086758 2138),(21.6726242783 2316),(21.6578751275 2509),(20.8088305016 2667),(24.1787689042 2859),(21.6329042757 3035),(21.4069878176 3212),(23.7619242592 3405),(20.3646777193 3578),(22.4233530631 3774),(19.6837738486 3947),(20.245465303 4120),(23.0576622706 4299),(23.5776183706 4474),(22.8578528995 4655),(26.0791689322 4827),(26.14347916 5003),(24.751098574 5181),(26.4355033531 5356),(27.3363955194 5532),(24.3815381457 5693),(25.650812335 5867),(25.248957952 6043),(21.1230554773 6203),(23.0601853645 6365),(24.6667240252 6539),(22.4365318882 6716),(23.7722880681 6897),(20.1620472345 7051),(25.8178235919 7226),(22.9846158368 7410),
Point1,H2,,,,,,,,(18.3407533693 1271),,,(9.49503259268 1838),,(19.553550402 2154),(20.5234895145 2328),,,(12.5671952799 2906),(20.1013829337 3048),(19.8953098455 3225),,,,(8.02158577137 3998),,,,(4.19800050623 4723),,(11.2560994745 5051),,,,(23.6786747034 5703),(11.3849680451 5914),,,,(22.6923858361 6551),(21.7023251675 6726),,(19.0444269273 7062),,
Point1,H3,,,,,,,,(19.1613566212 1281),,,(9.49656240613 1839),,(19.5882426161 2157),(20.7532008763 2335),,,(12.7392085161 2913),(20.477283261 3056),(19.9548286219 3230),,,,(8.02749497559 4001),,,,(4.76049293994 4738),,(11.3883305824 5057),,,,(23.8792886399 5710),(11.8852573813 5923),,,,(23.6611354027 6560),(22.2289138833 6735),,(19.8878523884 7072),,
Point1,H4,,,(1.25632377603 499),(2.58457727005 678),(2.81941250198 836),(0.102837569614 1036),,(3.58251332503 1366),,,(2.99857857383 1887),,(8.50823240678 2186),(2.97147730788 2433),(2.79385465913 2616),,(2.27556115018 2984),(1.12577243645 3155),(1.91360468025 3333),,,(1.2873271856 3898),(2.01399910405 4052),(1.45678664292 4218),(1.08401470815 4402),,(2.70428204077 4757),,(1.7757693413 5109),(2.21379498174 5285),(2.54528831599 5462),(11.3301635044 5580),,(3.89137973984 5971),(0.39107269743 6154),(1.51779364349 6309),(0.778098375974 6484),(11.0164654082 6587),(5.3290705182e-15 6847),(0.918076542381 7004),(8.89931369644 7098),,
Point1,H5,,,(2.46864554705 513),(3.08913140564 688),(2.8617058952 841),(0.124782799698 1040),,(3.69644696705 1373),,,(3.01378696182 1891),,(9.00138183725 2195),(3.79510476167 2447),(2.86442900616 2622),,(2.34601239063 2990),(1.61631669825 3168),(2.52213213538 3344),,,(1.3408954056 3903),(2.67192739811 4064),(2.15968045559 4235),(1.47644623036 4414),,(3.49886771023 4768),,(2.62593396521 5121),(2.64835004676 5295),(2.95569826445 5471),(11.3703969611 5585),,(4.38918518698 5982),(0.469772552281 6160),(2.01183942559 6320),(1.50914518623 6497),(11.4259045203 6595),(22.5496509296 6877),(0.930118331292 7007),(9.5984342047 7107),,
