Cycle,0.834375
Average Width,4.82590365371
Width,,5.56446771951,5.11854127461,5.16078675035,5.02248074633,4.83679382777,4.62699972698,4.46329455142,4.39851874142,4.49444748408,4.71322046894,4.83427135466,4.65977025589,4.92206737124,4.96497420782,4.88870753257,4.90627528246,4.90949994822
Point0,H1,(23.2719856766 45),(23.2066107697 203),(23.9074270753 378),(23.3978809085 554),(23.0330861938 731),(23.8315048283 908),(24.1490614639 1083),(23.1023980117 1260),(23.9545314539 1434),(25.3014866317 1611),(25.5841091552 1804),(23.8110483673 1963),(25.0384061969 2139),(25.1397579274 2328),(26.0165311627 2506),(23.6360037299 2682),(23.2604457922 2874),
Point0,H2,,,(6.53331613148 426),,,,(23.0652536667 1094),,(9.21198528166 1481),,,,,,,,
Point0,H3,,,(6.64388156519 433),,,,(23.5545145366 1103),,(9.80864273078 1490),,,,,,,,
Point0,H4,,(-4.4408920985e-15 306),(1.57671191386 470),(1.7763568394e-15 671),(0.608111471282 853),(2.51434440142 1030),(2.17011886118 1204),,(0.877147325965 1557),,(2.882417226 1890),(1.07763300315 2087),(1.16720329701 2258),(2.58485142552 2433),,,
Point0,H5,,(0.586121604744 321),(2.00820942328 485),(1.43059407868 688),(0.795464998267 863),(2.66330181857 1037),(2.77172832432 1215),,(1.16383463405 1567),,(2.95457065578 1897),(1.15541646461 2094),(2.50361153295 2272),(3.05138485925 2445),,,
Point0,H6,(0.0 170),(-4.4408920985e-15 306),(-0.00021398820506 514),(1.7763568394e-15 671),(7.1054273576e-15 874),(-3.5527136788e-15 1053),(-3.5527136788e-15 1230),(0.0 1395),(8.881784197e-15 1579),(7.1054273576e-15 1757),(1.95399252334e-14 1920),(8.881784197e-15 2107),(3.5527136788e-15 2287),(1.42108547152e-14 2464),(1.59872115546e-14 2646),(8.881784197e-15 2831),
Point1,H1,(38.5676101186 44),(40.8458825395 204),(42.9152229963 379),(43.181610626 555),(41.8471395005 731),(43.5145010819 907),(44.3571295481 1083),(42.6487720814 1260),(43.0635399947 1434),(44.0288520454 1612),(43.3913952865 1803),(42.842078401 1963),(42.3524736479 2139),(42.7260474041 2328),(44.5331474622 2507),(42.3523403326 2682),(41.8574660756 2873),
Point1,H2,(2.6463533011 122),,(9.94841053319 428),,,(16.1474526955 956),,,(12.9362041881 1482),(3.93937885587 1732),,,,,,,
Point1,H3,(2.96247055234 131),,(9.96787565588 431),,,(16.1679893471 959),,,(13.2646124032 1489),(4.53257353126 1742),,,,,,,
Point1,H4,(0.842105358438 150),(-0.138054693073 304),(2.17585797304 483),(1.24344978758e-14 672),(0.309218680102 853),(3.3504432159 1029),(3.56611167227 1204),(15.0540675031 1307),(1.61451884628 1555),(-3.5527136788e-15 1758),(4.08489846768 1890),(1.47615454104 2085),(1.71551624345 2257),(3.30789370628 2433),,,
Point1,H5,(1.32740575164 159),(0.717954286926 320),(2.18324028179 486),(2.05190102877 689),(0.763347437438 864),(3.87345085952 1038),(4.17613952361 1214),(15.2157237745 1313),(2.24588191 1567),(43.065061165 1793),(4.58496769022 1900),(1.73114721266 2094),(4.07313739632 2272),(4.64869815046 2447),,,
